"ParentID","CurveName","Ordinal","vA","vB","vE"
36829,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36829,"(10) IEC Very Inv",90,0.00,13.50,1.00
36829,"(11) IEC Inv",100,0.00,0.14,0.02
36829,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36829,"(13) IEC ST Inv",120,0.00,0.05,0.04
36829,"(14) IEC LT Inv",130,0.00,120.00,1.00
36829,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36829,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36829,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36829,"(6) LT Ext Inv",50,0.25,64.07,2.00
36829,"(7) LT Very Inv",60,0.71,28.55,2.00
36829,"(8) LT Inv",70,0.18,0.08,0.02
36829,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36842,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36842,"(10) IEC Very Inv",40,0.00,13.50,1.00
36842,"(12) IEC Ext Inv",50,0.00,80.00,2.00
36842,"(13) IEC ST Inv",60,0.00,0.05,0.04
36842,"(14) IEC LT Inv",70,0.00,120.00,1.00
36842,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
36842,"(9) IEC Normal Inv",30,0.00,0.14,0.02
36847,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36847,"(10) IEC Very Inv",90,0.00,13.50,1.00
36847,"(11) IEC Inv",100,0.00,0.14,0.02
36847,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36847,"(13) IEC ST Inv",120,0.00,0.05,0.04
36847,"(14) IEC LT Inv",130,0.00,120.00,1.00
36847,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36847,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36847,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36847,"(6) LT Ext Inv",50,0.25,64.07,2.00
36847,"(7) LT Very Inv",60,0.71,28.55,2.00
36847,"(8) LT Inv",70,0.18,0.08,0.02
36847,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36856,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36856,"(10) IEC Very Inv",90,0.00,13.50,1.00
36856,"(11) IEC Inv",100,0.00,0.14,0.02
36856,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36856,"(13) IEC ST Inv",120,0.00,0.05,0.04
36856,"(14) IEC LT Inv",130,0.00,120.00,1.00
36856,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36856,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36856,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36856,"(6) LT Ext Inv",50,0.25,64.07,2.00
36856,"(7) LT Very Inv",60,0.71,28.55,2.00
36856,"(8) LT Inv",70,0.18,0.08,0.02
36856,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36861,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36861,"(10) IEC Very Inv",90,0.00,13.50,1.00
36861,"(11) IEC Inv",100,0.00,0.14,0.02
36861,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36861,"(13) IEC ST Inv",120,0.00,0.05,0.04
36861,"(14) IEC LT Inv",130,0.00,120.00,1.00
36861,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36861,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36861,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36861,"(6) LT Ext Inv",50,0.25,64.07,2.00
36861,"(7) LT Very Inv",60,0.71,28.55,2.00
36861,"(8) LT Inv",70,0.18,0.08,0.02
36861,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36888,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36888,"(10) IEC Very Inv",90,0.00,13.50,1.00
36888,"(11) IEC Inv",100,0.00,0.14,0.02
36888,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36888,"(13) IEC ST Inv",120,0.00,0.05,0.04
36888,"(14) IEC LT Inv",130,0.00,120.00,1.00
36888,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36888,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36888,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36888,"(6) LT Ext Inv",50,0.25,64.07,2.00
36888,"(7) LT Very Inv",60,0.71,28.55,2.00
36888,"(8) LT Inv",70,0.18,0.08,0.02
36888,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36895,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36895,"(10) IEC Very Inv",90,0.00,13.50,1.00
36895,"(11) IEC Inv",100,0.00,0.14,0.02
36895,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36895,"(13) IEC ST Inv",120,0.00,0.05,0.04
36895,"(14) IEC LT Inv",130,0.00,120.00,1.00
36895,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36895,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36895,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36895,"(6) LT Ext Inv",50,0.25,64.07,2.00
36895,"(7) LT Very Inv",60,0.71,28.55,2.00
36895,"(8) LT Inv",70,0.18,0.08,0.02
36895,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36909,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36909,"(10) IEC Very Inv",90,0.00,13.50,1.00
36909,"(11) IEC Inv",100,0.00,0.14,0.02
36909,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36909,"(13) IEC ST Inv",120,0.00,0.05,0.04
36909,"(14) IEC LT Inv",130,0.00,120.00,1.00
36909,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36909,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36909,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36909,"(6) LT Ext Inv",50,0.25,64.07,2.00
36909,"(7) LT Very Inv",60,0.71,28.55,2.00
36909,"(8) LT Inv",70,0.18,0.08,0.02
36909,"(9) IEC Normal Inv",80,0.00,0.14,0.02
36916,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
36916,"(10) IEC Very Inv",90,0.00,13.50,1.00
36916,"(11) IEC Inv",100,0.00,0.14,0.02
36916,"(12) IEC Ext Inv",110,0.00,80.00,2.00
36916,"(13) IEC ST Inv",120,0.00,0.05,0.04
36916,"(14) IEC LT Inv",130,0.00,120.00,1.00
36916,"(2) ANSI Very Inv",20,0.49,19.61,2.00
36916,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
36916,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
36916,"(6) LT Ext Inv",50,0.25,64.07,2.00
36916,"(7) LT Very Inv",60,0.71,28.55,2.00
36916,"(8) LT Inv",70,0.18,0.08,0.02
36916,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37054,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37054,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37054,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37054,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37054,"(6) LT Ext Inv",50,0.25,64.07,2.00
37054,"(7) LT Very Inv",60,0.71,28.55,2.00
37054,"(8) LT Inv",70,0.18,0.08,0.02
37064,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37064,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37064,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37064,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37064,"(6) LT Ext Inv",50,0.25,64.07,2.00
37064,"(7) LT Very Inv",60,0.71,28.55,2.00
37064,"(8) LT Inv",70,0.18,0.08,0.02
37074,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37074,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37074,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37074,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37074,"(6) LT Ext Inv",50,0.25,64.07,2.00
37074,"(7) LT Very Inv",60,0.71,28.55,2.00
37074,"(8) LT Inv",70,0.18,0.08,0.02
37084,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37084,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37084,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37084,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37084,"(6) LT Ext Inv",50,0.25,64.07,2.00
37084,"(7) LT Very Inv",60,0.71,28.55,2.00
37084,"(8) LT Inv",70,0.18,0.08,0.02
37094,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37094,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37094,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37094,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37094,"(6) LT Ext Inv",50,0.25,64.07,2.00
37094,"(7) LT Very Inv",60,0.71,28.55,2.00
37094,"(8) LT Inv",70,0.18,0.08,0.02
