"ParentID","CurveName","Ordinal","vA","vB","vE"
39355,"RECT",40,0.00,45900.00,5.60
39355,"VI",20,0.49,19.61,2.00
39370,"CO2",50,0.01,0.02,0.02
39370,"CO8",60,0.18,5.95,2.00
39370,"EI",30,0.12,28.20,2.00
39370,"MI",10,0.11,0.05,0.02
39370,"RECT",40,0.00,45900.00,5.60
39370,"VI",20,0.49,19.61,2.00
39385,"CO2",50,0.01,0.02,0.02
39385,"CO8",60,0.18,5.95,2.00
39385,"EI",30,0.12,28.20,2.00
39385,"MI",10,0.11,0.05,0.02
39385,"RECT",40,0.00,45900.00,5.60
39385,"VI",20,0.49,19.61,2.00
39395,"CO2",50,0.01,0.02,0.02
39395,"CO8",60,0.18,5.95,2.00
39395,"EI",30,0.12,28.20,2.00
39395,"MI",10,0.11,0.05,0.02
39395,"RECT",40,0.00,45900.00,5.60
39395,"VI",20,0.49,19.61,2.00
39405,"CO2",50,0.01,0.02,0.02
39405,"CO8",60,0.18,5.95,2.00
39405,"EI",30,0.12,28.20,2.00
39405,"MI",10,0.11,0.05,0.02
39405,"RECT",40,0.00,45900.00,5.60
39405,"VI",20,0.49,19.61,2.00
39415,"CO2",50,0.01,0.02,0.02
39415,"CO8",60,0.18,5.95,2.00
39415,"EI",30,0.12,28.20,2.00
39415,"MI",10,0.11,0.05,0.02
39415,"RECT",40,0.00,45900.00,5.60
39415,"VI",20,0.49,19.61,2.00
39425,"CO2",50,0.01,0.02,0.02
39425,"CO8",60,0.18,5.95,2.00
39425,"EI",30,0.12,28.20,2.00
39425,"MI",10,0.11,0.05,0.02
39425,"RECT",40,0.00,45900.00,5.60
39425,"VI",20,0.49,19.61,2.00
39440,"CO2",50,0.01,0.02,0.02
39440,"CO8",60,0.18,5.95,2.00
39440,"EI",30,0.12,28.20,2.00
39440,"MI",10,0.11,0.05,0.02
