"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
65088,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
65095,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
65095,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
65095,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
65095,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
65095,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
65095,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
65095,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
65095,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
65095,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
67780,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
67780,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
67780,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
67780,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
67805,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
67805,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
67805,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
67805,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
67831,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
67831,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
67831,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
67831,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
69018,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
69018,"Inverse",10,0.94,2.90,0.80,-1.40,0.65
69018,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
69043,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
69043,"Inverse",10,0.94,2.90,0.80,-1.40,0.65
69043,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
69068,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
69068,"Inverse",10,0.94,2.90,0.80,-1.40,0.65
69068,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
69094,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
69094,"Inverse",10,0.94,2.90,0.80,-1.40,0.65
69094,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
69119,"Extremely Inverse",30,0.04,6.93,0.62,19.42,2.67
69119,"Inverse",10,0.94,2.90,0.80,-1.40,0.65
69119,"Very Inverse",20,0.54,4.81,0.10,-7.80,48.23
69214,"Ext Inv",40,0.03,0.22,0.50,3.00,0.72
69214,"Mod Inv",10,0.17,0.67,0.80,-0.08,0.12
69214,"Norm Inv",20,0.02,2.26,0.30,-0.18,9.12
69214,"V Inv",30,0.06,0.79,0.34,-0.28,4.05
69278,"Ext Inv",40,0.03,0.22,0.50,3.00,0.72
69278,"Mod Inv",10,0.17,0.67,0.80,-0.08,0.12
69278,"Norm Inv",20,0.02,2.26,0.30,-0.18,9.12
69278,"V Inv",30,0.06,0.79,0.34,-0.28,4.05
71273,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71273,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71273,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71273,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71285,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71285,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71285,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71285,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71302,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71302,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71302,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71302,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71325,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71325,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71325,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71325,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71343,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71343,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71343,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71343,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71360,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71360,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71360,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71360,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71377,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71377,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71377,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71377,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71394,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71394,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71394,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71394,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71470,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71470,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71470,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71470,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71496,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71496,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71496,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71496,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71521,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71521,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71521,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71521,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71574,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71574,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71574,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71574,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71586,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71586,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71586,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71586,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71603,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71603,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71603,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71603,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71626,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71626,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71626,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71626,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71644,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71644,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71644,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71644,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71661,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71661,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71661,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71661,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71678,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
71678,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
71678,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
71678,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
71695,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71695,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
71695,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71695,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71724,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71724,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71724,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71724,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71750,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71750,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71750,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71750,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71775,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71775,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71775,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71775,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71802,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71802,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71802,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71802,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71828,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71828,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71828,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71828,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
71853,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
71853,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
71853,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
71853,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
72889,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
72889,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
72889,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
72889,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
72903,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
72903,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
72903,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
72903,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
72924,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
72924,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
72924,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
72924,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
72952,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
72952,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
72952,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
72952,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
72973,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
72973,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
72973,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
72973,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
72994,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
72994,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
72994,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
72994,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
73333,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73333,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73333,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73333,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73360,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73360,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73360,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73360,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73377,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73377,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73377,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73377,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73400,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73400,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73400,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73400,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73438,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73438,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73438,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73438,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73450,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73450,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73450,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73450,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73474,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73474,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73474,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73474,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73492,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73492,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73492,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73492,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73504,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73504,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73504,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73504,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
73528,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
73528,"Inv",10,0.02,2.26,0.30,-4.18,9.12
73528,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
73528,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
74224,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
74224,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
74224,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
74224,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
74287,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
74287,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
74287,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
74287,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
74294,"Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
74294,"Inverse",30,0.20,0.86,0.80,-0.41,0.19
74294,"Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
74294,"Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
75042,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
75042,"Inv",10,0.02,2.26,0.30,-4.18,9.12
75042,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
75042,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
75055,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
75055,"Inv",10,0.02,2.26,0.30,-4.18,9.12
75055,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
75055,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
75111,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
75111,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
75111,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
75111,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
75123,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
75123,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
75123,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
75123,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
75145,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
75145,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
75145,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
75145,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
75156,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
75156,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
75156,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
75156,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
77624,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
77624,"Inv",10,0.02,2.26,0.30,-4.18,9.12
77624,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
77624,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
77645,"Ext Inv",30,0.03,0.22,0.50,3.00,0.72
77645,"Inv",10,0.02,2.26,0.30,-4.18,9.12
77645,"Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
77645,"V Inv",20,0.06,0.79,0.34,-0.28,4.05
77798,"Ext Inv",40,0.03,0.22,0.50,3.00,0.72
77798,"Mod Inv",10,0.17,0.67,0.80,-0.08,0.12
77798,"Norm Inv",20,0.02,2.26,0.30,-0.18,9.12
77798,"V Inv",30,0.06,0.79,0.34,-0.28,4.05
77861,"Ext Inv",40,0.03,0.22,0.50,3.00,0.72
77861,"Mod Inv",10,0.17,0.67,0.80,-0.08,0.12
77861,"Norm Inv",20,0.02,2.26,0.30,-0.18,9.12
77861,"V Inv",30,0.06,0.79,0.34,-0.28,4.05
79458,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79458,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79458,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79458,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79458,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79458,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79460,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79460,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79460,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79460,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79460,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79460,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79462,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79462,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79462,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79462,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79462,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79462,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79464,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79464,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79464,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79464,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79464,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79464,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79466,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79466,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79466,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79466,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79466,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79466,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79468,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79468,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79468,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79468,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79468,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79468,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79470,"Def Time 0.1s Base Line",60,0.10,0.00,0.00,0.00,0.00
79470,"Definite Time",50,0.05,0.00,0.00,0.00,0.00
79470,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79470,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79470,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79470,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79596,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79596,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79596,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79596,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79598,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
79598,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
79598,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
79598,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
79602,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79602,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79602,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79602,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79604,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
79604,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
79604,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
79604,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
79608,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79608,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79608,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79608,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79610,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
79610,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
79610,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
79610,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
79614,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
79614,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
79614,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
79614,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
79616,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
79616,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
79616,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
79616,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81097,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81097,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81097,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81097,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81109,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81109,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81109,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81109,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81126,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81126,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81126,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81126,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81149,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81149,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81149,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81149,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81167,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81167,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81167,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81167,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81184,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81184,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81184,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81184,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81201,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81201,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81201,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81201,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81218,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81218,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81218,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81218,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81235,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81235,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81235,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81235,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81252,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81252,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81252,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81252,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81270,"ANSI Ext Inv",10,0.03,0.22,0.50,3.00,0.72
81270,"ANSI Mod Inv",40,0.17,0.67,0.80,-0.08,0.12
81270,"ANSI N Inv",30,0.02,2.26,0.30,-4.18,9.12
81270,"ANSI V Inv",20,0.06,0.79,0.34,-0.28,4.05
81287,"IAC Extremely Inverse",10,4.0e-03,0.63,0.62,1.78,0.24
81287,"IAC Inverse",30,0.20,0.86,0.80,-0.41,0.19
81287,"IAC Short Inverse",40,0.04,0.06,0.62,-1.0e-03,0.02
81287,"IAC Very Inverse",20,0.09,0.79,0.10,-1.28,7.95
81433,"EI31",20,0.03,0.22,0.50,3.00,0.72
81433,"MI31",10,0.17,0.67,0.80,-0.08,0.12
81433,"NI31",30,0.02,2.26,0.30,-4.18,9.12
81433,"VI31",40,0.06,0.79,0.34,-0.28,4.05
81452,"EI31",20,0.03,0.22,0.50,3.00,0.72
81452,"MI31",10,0.17,0.67,0.80,-0.08,0.12
81452,"NI31",30,0.02,2.26,0.30,-4.18,9.12
81452,"VI31",40,0.06,0.79,0.34,-0.28,4.05
