"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
54830,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54830,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54830,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54830,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54830,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54840,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54840,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54840,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54840,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54840,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54840,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54840,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54840,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54850,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54850,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54850,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54850,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54850,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54850,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54850,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54850,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54860,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54860,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54860,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54860,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54860,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54860,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54860,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54860,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54871,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54871,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54871,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54871,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54871,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54871,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54871,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54871,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54890,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54890,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54890,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54890,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54890,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54890,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54890,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54890,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54895,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54895,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54895,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54895,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54895,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54895,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54895,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54895,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54902,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54902,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54902,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54902,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54902,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54902,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54902,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54902,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54912,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54912,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54912,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54912,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54912,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54912,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54912,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54912,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54917,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54917,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54917,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54917,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
54917,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54917,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54917,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54917,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54924,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54924,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
54924,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
54924,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
