"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vN","vK","vR"
42363,"I1, Inverse Time",70,8.93,0.17,1.00,,2.09,0.02,
42363,"I2, Inverse Time",80,0.27,0.10,1.00,,0.43,0.02,
42363,"L1, Long Inverse",30,5.61,2.18,1.00,,1.00,0.02,
42363,"L2, Long Inverse",40,2.39,0.00,1.00,,0.31,0.02,
42363,"M, Moderately Inverse",60,0.30,0.12,1.00,,0.50,0.02,
42363,"S1, Short Inverse",10,0.26,0.03,1.00,,1.29,0.02,
42363,"S2, Short Inverse",20,0.02,0.02,1.00,,0.98,0.02,
42363,"V1, Very Inverse",90,5.46,0.10,1.00,,2.04,0.02,
42363,"V2, Very Inverse",100,4.43,0.09,1.00,,1.95,0.02,
42509,"A, Standard Inverse",130,0.01,0.00,1.00,,0.02,0.02,
42509,"B, Very Inverse (It)",140,1.46,0.00,1.00,,1.04,0.02,
42509,"C, Extremely Inverse",150,8.25,0.00,1.00,,2.04,0.02,
42509,"D, Definite Time",50,0.47,0.21,1.00,,1.56,0.02,
42509,"E1, Extremely Inverse",110,7.76,0.02,1.00,,2.09,0.02,
42509,"E2, Extremely Inverse",120,4.98,0.01,1.00,,2.04,0.02,
42509,"G, Long Time Inverse",160,12.12,0.00,1.00,,1.00,0.02,
42509,"I1, Inverse Time",70,8.93,0.17,1.00,,2.09,0.02,
42509,"I2, Inverse Time",80,0.27,0.10,1.00,,0.43,0.02,
42509,"L1, Long Inverse",30,5.61,2.18,1.00,,1.00,0.02,
42509,"L2, Long Inverse",40,2.39,0.00,1.00,,0.31,0.02,
42509,"M, Moderately Inverse",60,0.30,0.12,1.00,,0.50,0.02,
42509,"S1, Short Inverse",10,0.26,0.03,1.00,,1.29,0.02,
42509,"S2, Short Inverse",20,0.02,0.02,1.00,,0.98,0.02,
42509,"V1, Very Inverse",90,5.46,0.10,1.00,,2.04,0.02,
42509,"V2, Very Inverse",100,4.43,0.09,1.00,,1.95,0.02,
42514,"A, Standard Inverse",130,0.01,0.00,1.00,,0.02,0.02,
42514,"B, Very Inverse (It)",140,1.46,0.00,1.00,,1.04,0.02,
42514,"C, Extremely Inverse",150,8.25,0.00,1.00,,2.04,0.02,
42514,"D, Definite Time",50,0.47,0.21,1.00,,1.56,0.02,
42514,"E1, Extremely Inverse",110,7.76,0.02,1.00,,2.09,0.02,
42514,"E2, Extremely Inverse",120,4.98,0.01,1.00,,2.04,0.02,
42514,"G, Long Time Inverse",160,12.12,0.00,1.00,,1.00,0.02,
42514,"I1, Inverse Time",70,8.93,0.17,1.00,,2.09,0.02,
42514,"I2, Inverse Time",80,0.27,0.10,1.00,,0.43,0.02,
42514,"L1, Long Inverse",30,5.61,2.18,1.00,,1.00,0.02,
42514,"L2, Long Inverse",40,2.39,0.00,1.00,,0.31,0.02,
42514,"M, Moderately Inverse",60,0.30,0.12,1.00,,0.50,0.02,
42514,"S1, Short Inverse",10,0.26,0.03,1.00,,1.29,0.02,
42514,"S2, Short Inverse",20,0.02,0.02,1.00,,0.98,0.02,
42514,"V1, Very Inverse",90,5.46,0.10,1.00,,2.04,0.02,
42514,"V2, Very Inverse",100,4.43,0.09,1.00,,1.95,0.02,
42587,"A, Standard Inverse",130,0.01,0.00,1.00,,0.02,0.02,
42587,"B, Very Inverse (It)",140,1.46,0.00,1.00,,1.04,0.02,
42587,"C, Extremely Inverse",150,8.25,0.00,1.00,,2.04,0.02,
42587,"D, Definite Time",50,0.47,0.21,1.00,,1.56,0.02,
42587,"E1, Extremely Inverse",110,7.76,0.02,1.00,,2.09,0.02,
42587,"E2, Extremely Inverse",120,4.98,0.01,1.00,,2.04,0.02,
42587,"G, Long Time Inverse",160,12.12,0.00,1.00,,1.00,0.02,
42587,"I1, Inverse Time",70,8.93,0.17,1.00,,2.09,0.02,
42587,"I2, Inverse Time",80,0.27,0.10,1.00,,0.43,0.02,
42587,"L1, Long Inverse",30,5.61,2.18,1.00,,1.00,0.02,
42587,"L2, Long Inverse",40,2.39,0.00,1.00,,0.31,0.02,
42587,"M, Moderately Inverse",60,0.30,0.12,1.00,,0.50,0.02,
42587,"S1, Short Inverse",10,0.26,0.03,1.00,,1.29,0.02,
42587,"S2, Short Inverse",20,0.02,0.02,1.00,,0.98,0.02,
42587,"V1, Very Inverse",90,5.46,0.10,1.00,,2.04,0.02,
42587,"V2, Very Inverse",100,4.43,0.09,1.00,,1.95,0.02,
45234,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45234,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45234,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45234,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45234,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45234,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45234,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45257,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45257,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45257,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45257,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45257,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45257,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45257,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45280,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45280,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45280,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45280,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45280,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45280,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45280,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45303,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45303,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45303,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45303,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45303,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45303,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45303,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45326,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45326,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45326,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45326,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45326,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45326,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45326,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45349,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45349,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45349,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45349,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45349,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45349,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45349,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45372,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45372,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45372,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45372,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45372,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45372,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45372,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45395,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45395,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45395,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45395,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45395,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45395,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45395,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45441,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45441,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45441,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45441,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45441,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45441,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45441,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45464,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45464,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45464,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45464,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45464,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45464,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45464,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45487,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45487,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45487,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45487,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45487,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45487,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45487,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45514,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45514,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45514,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45514,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45514,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45514,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45514,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45537,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45537,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45537,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45537,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45537,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45537,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45537,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45560,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45560,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45560,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45560,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45560,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45560,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45560,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45583,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45583,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45583,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45583,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45583,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45583,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45583,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45606,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45606,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45606,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45606,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45606,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45606,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45606,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45629,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45629,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45629,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45629,"IEC Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45629,"IEC L Inv",70,120.00,0.00,1.00,,1.00,0.00,
45629,"IEC Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45629,"IEC Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45652,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45652,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45652,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45652,"IEC-A Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45652,"IEC-B Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45652,"IEC-C Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45669,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45669,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45669,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45669,"IEC-A Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45669,"IEC-B Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45669,"IEC-C Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45686,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45686,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45686,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45686,"IEC-A Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45686,"IEC-B Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45686,"IEC-C Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
45709,"ANSI Ext Inv",30,28.20,0.12,1.00,,2.00,0.00,
45709,"ANSI Mod Inv",10,0.05,0.11,1.00,,0.02,0.00,
45709,"ANSI Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
45709,"IEC-A Norm Inv",40,0.14,0.00,1.00,,0.02,0.00,
45709,"IEC-B Very Inv",50,13.50,0.00,1.00,,1.00,0.00,
45709,"IEC-C Ext Inv",60,80.00,0.00,1.00,,2.00,0.00,
46952,"Extremely Inverse",10,5.64,0.02,1.00,,2.00,0.00,
46952,"Inverse",30,0.01,0.02,1.00,,0.02,0.00,
46952,"Very Inverse",20,3.92,0.09,1.00,,2.00,0.00,
46957,"Extremely Inverse",10,5.64,0.02,1.00,,2.00,0.00,
46957,"Inverse",30,0.01,0.02,1.00,,0.02,0.00,
46957,"Very Inverse",20,3.92,0.09,1.00,,2.00,0.00,
46962,"Extremely Inverse",10,5.64,0.02,1.00,,2.00,0.00,
46962,"Inverse",30,0.01,0.02,1.00,,0.02,0.00,
46962,"Very Inverse",20,3.92,0.09,1.00,,2.00,0.00,
46972,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
46987,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
46987,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
46987,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47042,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47057,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47057,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47057,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47112,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47127,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47127,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47127,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47182,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47197,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47197,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47197,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47252,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47267,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47267,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47267,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47322,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47337,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47337,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47337,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47401,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47416,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47416,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47416,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47426,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47441,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47441,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47441,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47451,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47466,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47466,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47466,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47476,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47491,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47491,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47491,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47501,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47516,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47516,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47516,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47560,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47575,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47575,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47575,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47585,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47600,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47600,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47600,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47610,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47625,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47625,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47625,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47635,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47650,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47650,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47650,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47660,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47675,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47675,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47675,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47685,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47700,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47700,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47700,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47775,"I^2T",10,250.00,0.00,0.00,,2.00,0.00,
47797,"Extremely Inverse",30,5.64,0.02,1.00,,2.00,0.00,
47797,"Inverse",10,0.01,0.02,1.00,,0.02,0.00,
47797,"Very Inverse",20,3.91,0.09,1.00,,2.00,0.00,
47807,"I^2T",10,250.00,0.00,0.00,,2.00,0.00,
47829,"Extremely Inverse",30,5.64,0.02,1.00,,2.00,0.00,
47829,"Inverse",10,0.01,0.02,1.00,,0.02,0.00,
47829,"Very Inverse",20,3.91,0.09,1.00,,2.00,0.00,
47865,"I^2T",10,250.00,0.00,0.00,,2.00,0.00,
47887,"Extremely Inverse",30,5.64,0.02,1.00,,2.00,0.00,
47887,"Inverse",10,0.01,0.02,1.00,,0.02,0.00,
47887,"Very Inverse",20,3.91,0.09,1.00,,2.00,0.00,
47897,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47907,"IEC Curve A (BS142)",10,0.14,0.00,1.00,,0.02,0.00,
47907,"IEC Curve B (BS142)",20,13.50,0.00,1.00,,1.00,0.00,
47907,"IEC Curve C (BS142)",30,80.00,0.00,1.00,,2.00,0.00,
47907,"IEC Short Inverse",40,0.05,0.00,1.00,,0.04,0.00,
47912,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47912,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47912,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47962,"IEC Curve A (BS142)",10,0.14,0.00,1.00,,0.02,0.00,
47962,"IEC Curve B (BS142)",20,13.50,0.00,1.00,,1.00,0.00,
47962,"IEC Curve C (BS142)",30,80.00,0.00,1.00,,2.00,0.00,
47962,"IEC Short Inverse",40,0.05,0.00,1.00,,0.04,0.00,
47967,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47967,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47967,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
47977,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
47987,"IEC Curve A (BS142)",10,0.14,0.00,1.00,,0.02,0.00,
47987,"IEC Curve B (BS142)",20,13.50,0.00,1.00,,1.00,0.00,
47987,"IEC Curve C (BS142)",30,80.00,0.00,1.00,,2.00,0.00,
47987,"IEC Short Inverse",40,0.05,0.00,1.00,,0.04,0.00,
47992,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
47992,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
47992,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48048,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48065,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48065,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48065,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48123,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48123,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48123,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48134,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48152,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48152,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48152,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48209,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48224,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48224,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48224,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48239,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48239,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48239,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48249,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48264,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48264,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48264,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48269,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48284,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48284,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48284,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48294,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48309,"Ext Inv",10,28.20,0.12,1.00,,2.00,0.00,
48309,"Mod Inv",30,0.05,0.11,1.00,,0.02,0.00,
48309,"Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
48319,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48334,"Ext Inv",10,28.20,0.12,1.00,,2.00,0.00,
48334,"Mod Inv",30,0.05,0.11,1.00,,0.02,0.00,
48334,"Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
48344,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48359,"Ext Inv",10,28.20,0.12,1.00,,2.00,0.00,
48359,"Mod Inv",30,0.05,0.11,1.00,,0.02,0.00,
48359,"Very Inv",20,19.61,0.49,1.00,,2.00,0.00,
48369,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48384,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48384,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48384,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48439,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48454,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48454,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48454,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
48464,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
48479,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
48479,"Inverse",30,0.05,0.11,1.00,,0.02,0.00,
48479,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
49500,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
49515,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
49515,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
49515,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
49525,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
49540,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
49540,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
49540,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
49550,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
49565,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
49565,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
49565,"Very Inverse",20,19.61,0.49,1.00,,2.00,0.00,
49575,"I^2 T",10,100.00,0.00,0.00,,2.00,0.00,
49590,"Extremely Inverse",10,28.20,0.12,1.00,,2.00,0.00,
49590,"Moderately Inverse",30,0.05,0.11,1.00,,0.02,0.00,
