"ParentID","CurveName","Ordinal","vA","vB","vC"
35947,"LT I",70,0.08,0.18,0.02
35947,"LT VI",60,28.55,0.71,2.00
35947,"ST Inv",40,1.72e-03,3.7e-03,0.02
35947,"Very LT EI",80,640.70,2.50,2.00
35947,"Very LT I",100,0.86,1.85,0.02
35947,"Very LT VI",90,285.50,7.12,2.00
35947,"VI",20,2.85,0.07,2.00
35963,"EI",10,6.40,0.02,2.00
35963,"Inv",30,8.6e-03,0.01,0.02
35963,"LT EI",50,64.07,0.25,2.00
35963,"LT I",70,0.08,0.18,0.02
35963,"LT VI",60,28.55,0.71,2.00
35963,"ST Inv",40,1.72e-03,3.7e-03,0.02
35963,"Very LT EI",80,640.70,2.50,2.00
35963,"Very LT I",100,0.86,1.85,0.02
35963,"Very LT VI",90,285.50,7.12,2.00
35963,"VI",20,2.85,0.07,2.00
36045,"EI",10,6.40,0.02,2.00
36045,"Inv",30,8.6e-03,0.01,0.02
36045,"LT EI",50,64.07,0.25,2.00
36045,"LT I",70,0.08,0.18,0.02
36045,"LT VI",60,28.55,0.71,2.00
36045,"ST Inv",40,1.72e-03,3.7e-03,0.02
36045,"Very LT EI",80,640.70,2.50,2.00
36045,"Very LT I",100,0.86,1.85,0.02
36045,"Very LT VI",90,285.50,7.12,2.00
36045,"VI",20,2.85,0.07,2.00
36061,"EI",10,6.40,0.02,2.00
36061,"Inv",30,8.6e-03,0.01,0.02
36061,"LT EI",50,64.07,0.25,2.00
36061,"LT I",70,0.08,0.18,0.02
36061,"LT VI",60,28.55,0.71,2.00
36061,"ST Inv",40,1.72e-03,3.7e-03,0.02
36061,"Very LT EI",80,640.70,2.50,2.00
36061,"Very LT I",100,0.86,1.85,0.02
36061,"Very LT VI",90,285.50,7.12,2.00
36061,"VI",20,2.85,0.07,2.00
36116,"Extremely Inverse",10,6.40,0.02,2.00
36116,"Inverse",30,8.6e-03,0.01,0.02
36116,"Long Time Ext Inverse",60,64.07,0.25,2.00
36116,"Long TIme Inverse",80,0.08,0.18,0.02
36116,"Long TIme Very Inverse",70,28.55,0.71,2.00
36116,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36116,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36116,"Very Inverse",20,2.85,0.07,2.00
36136,"Extremely Inverse",10,6.40,0.02,2.00
36136,"Inverse",30,8.6e-03,0.01,0.02
36136,"Long Time Ext Inverse",60,64.07,0.25,2.00
36136,"Long TIme Inverse",80,0.08,0.18,0.02
36136,"Long TIme Very Inverse",70,28.55,0.71,2.00
36136,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36136,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36136,"Very Inverse",20,2.85,0.07,2.00
36141,"Extremely Inverse",10,6.40,0.02,2.00
36141,"Inverse",30,8.6e-03,0.01,0.02
36141,"Long Time Ext Inverse",60,64.07,0.25,2.00
36141,"Long TIme Inverse",80,0.08,0.18,0.02
36141,"Long TIme Very Inverse",70,28.55,0.71,2.00
36141,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36141,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36141,"Very Inverse",20,2.85,0.07,2.00
36179,"Extremely Inverse",10,6.40,0.02,2.00
36179,"Inverse",30,8.6e-03,0.01,0.02
36179,"Long Time Ext Inverse",60,64.07,0.25,2.00
36179,"Long TIme Inverse",80,0.08,0.18,0.02
36179,"Long TIme Very Inverse",70,28.55,0.71,2.00
36179,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36179,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36179,"Very Inverse",20,2.85,0.07,2.00
36200,"Extremely Inverse",10,6.40,0.02,2.00
36200,"Inverse",30,8.6e-03,0.01,0.02
36200,"Long Time Ext Inverse",60,64.07,0.25,2.00
36200,"Long TIme Inverse",80,0.08,0.18,0.02
36200,"Long TIme Very Inverse",70,28.55,0.71,2.00
36200,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36200,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36200,"Very Inverse",20,2.85,0.07,2.00
36205,"Extremely Inverse",10,6.40,0.02,2.00
36205,"Inverse",30,8.6e-03,0.01,0.02
36205,"Long Time Ext Inverse",60,64.07,0.25,2.00
36205,"Long TIme Inverse",80,0.08,0.18,0.02
36205,"Long TIme Very Inverse",70,28.55,0.71,2.00
36205,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36205,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36205,"Very Inverse",20,2.85,0.07,2.00
36225,"Extremely Inverse",10,6.40,0.02,2.00
36225,"Inverse",30,8.6e-03,0.01,0.02
36225,"Long Time Ext Inverse",60,64.07,0.25,2.00
36225,"Long TIme Inverse",80,0.08,0.18,0.02
36225,"Long TIme Very Inverse",70,28.55,0.71,2.00
36225,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36225,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36225,"Very Inverse",20,2.85,0.07,2.00
36230,"Extremely Inverse",10,6.40,0.02,2.00
36230,"Inverse",30,8.6e-03,0.01,0.02
36230,"Long Time Ext Inverse",60,64.07,0.25,2.00
36230,"Long TIme Inverse",80,0.08,0.18,0.02
36230,"Long TIme Very Inverse",70,28.55,0.71,2.00
36230,"Short TIme Extremely Inv",50,1.28,5.0e-03,2.00
36230,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
36230,"Very Inverse",20,2.85,0.07,2.00
36400,"Ext Inverse",10,6.40,0.02,2.00
36400,"Inverse",30,8.6e-03,0.01,0.02
36400,"L T Ext. Inverse",60,64.07,0.25,2.00
36400,"L T Inverse",80,0.08,0.18,0.02
36400,"L T Very Inverse",70,28.55,0.71,2.00
36400,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
36400,"S T Inverse",40,1.72e-03,3.7e-03,0.02
36400,"Very Inverse",20,2.85,0.07,2.00
36425,"Ext Inverse",10,6.40,0.02,2.00
36425,"Inverse",30,8.6e-03,0.01,0.02
36425,"L T Ext. Inverse",60,64.07,0.25,2.00
36425,"L T Inverse",80,0.08,0.18,0.02
36425,"L T Very Inverse",70,28.55,0.71,2.00
36425,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
36425,"S T Inverse",40,1.72e-03,3.7e-03,0.02
36425,"Very Inverse",20,2.85,0.07,2.00
36470,"Ext Inverse",10,6.40,0.02,2.00
36470,"Inverse",30,8.6e-03,0.01,0.02
36470,"L T Ext. Inverse",60,64.07,0.25,2.00
36470,"L T Inverse",80,0.08,0.18,0.02
36470,"L T Very Inverse",70,28.55,0.71,2.00
36470,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
36470,"S T Inverse",40,1.72e-03,3.7e-03,0.02
36470,"Very Inverse",20,2.85,0.07,2.00
36495,"Ext Inverse",10,6.40,0.02,2.00
36495,"Inverse",30,8.6e-03,0.01,0.02
36495,"L T Ext. Inverse",60,64.07,0.25,2.00
36495,"L T Inverse",80,0.08,0.18,0.02
36495,"L T Very Inverse",70,28.55,0.71,2.00
36495,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
36495,"S T Inverse",40,1.72e-03,3.7e-03,0.02
36495,"Very Inverse",20,2.85,0.07,2.00
37214,"Ext Inverse",10,6.40,0.02,2.00
37214,"Inverse",30,8.6e-03,0.01,0.02
37214,"L T Ext. Inverse",60,64.07,0.25,2.00
37214,"L T Inverse",80,0.08,0.18,0.02
37214,"L T Very Inverse",70,28.55,0.71,2.00
37214,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37214,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37214,"Very Inverse",20,2.85,0.07,2.00
37273,"Ext Inverse",10,6.40,0.02,2.00
37273,"Inverse",30,8.6e-03,0.01,0.02
37273,"L T Ext. Inverse",60,64.07,0.25,2.00
37273,"L T Inverse",80,0.08,0.18,0.02
37273,"L T Very Inverse",70,28.55,0.71,2.00
37273,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37273,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37273,"Very Inverse",20,2.85,0.07,2.00
37428,"Ext Inverse",10,6.40,0.02,2.00
37428,"Inverse",30,8.6e-03,0.01,0.02
37428,"L T Ext. Inverse",60,64.07,0.25,2.00
37428,"L T Inverse",80,0.08,0.18,0.02
37428,"L T Very Inverse",70,28.55,0.71,2.00
37428,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37428,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37428,"Very Inverse",20,2.85,0.07,2.00
37475,"Ext Inverse",10,6.40,0.02,2.00
37475,"Inverse",30,8.6e-03,0.01,0.02
37475,"L T Ext. Inverse",60,64.07,0.25,2.00
37475,"L T Inverse",80,0.08,0.18,0.02
37475,"L T Very Inverse",70,28.55,0.71,2.00
37475,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37475,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37475,"Very Inverse",20,2.85,0.07,2.00
37565,"Ext Inverse",10,6.40,0.02,2.00
37565,"Inverse",30,8.6e-03,0.01,0.02
37565,"L T Ext. Inverse",60,64.07,0.25,2.00
37565,"L T Inverse",80,0.08,0.18,0.02
37565,"L T Very Inverse",70,28.55,0.71,2.00
37565,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37565,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37565,"Very Inverse",20,2.85,0.07,2.00
37777,"Ext Inverse",10,6.40,0.02,2.00
37777,"Inverse",30,8.6e-03,0.01,0.02
37777,"L T Ext. Inverse",60,64.07,0.25,2.00
37777,"L T Inverse",80,0.08,0.18,0.02
37777,"L T Very Inverse",70,28.55,0.71,2.00
37777,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37777,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37777,"Very Inverse",20,2.85,0.07,2.00
37797,"Ext Inverse",10,6.40,0.02,2.00
37797,"Inverse",30,8.6e-03,0.01,0.02
37797,"L T Ext. Inverse",60,64.07,0.25,2.00
37797,"L T Inverse",80,0.08,0.18,0.02
37797,"L T Very Inverse",70,28.55,0.71,2.00
37797,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
37797,"S T Inverse",40,1.72e-03,3.7e-03,0.02
37797,"Very Inverse",20,2.85,0.07,2.00
38275,"Extremely Inverse",10,6.40,0.02,2.00
38275,"Inverse",30,8.6e-03,0.01,0.02
38275,"Long Time Ext. Inv.",60,64.07,0.25,2.00
