"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
693,1,"CR-8(98)","Types CR, CRC, CRP and CRD
Directional Overcurrent Relays
Westinghouse - ABB

Instruction Leaflet : 41-131Q

Effective: June 1998
Supersedes I.L. 41-131P, dated August 1986

Note : The (98) in the type name refers to the year 1998, the document publication year.",0,0,0,1
694,1,"CR-9(98)","Types CR, CRC, CRP and CRD
Directional Overcurrent Relays
Westinghouse - ABB

Instruction Leaflet : 41-131Q

Effective: June 1998
Supersedes I.L. 41-131P, dated August 1986

Note : The (98) in the type name refers to the year 1998, the document publication year.",0,0,0,1
1336,1,"CRP-9","Types CR, CRC, CRP and CRD Directional Overcurrent Relays",0,0,0,1
552,1,"CRQ-11","Type CRQ Directional Negative Sequence Relay for Ground Protection


CRQ-6 Definite Minimum Time Relay
CRQ-7 Moderately Inverse Time Relay
CRQ-8 Inverse Time Relay
CRQ-9 Very Inverse Time Relay
CRQ-11 Extremely Inverse Time Relay

Source : Instruction Leaflet 41-163.2B
Effective: January 1977
Supersedes I.L. 41-137.3A, Dated September 1974",0,0,0,0
548,1,"CRQ-6","Type CRQ Directional Negative Sequence Relay for Ground Protection


CRQ-6 Definite Minimum Time Relay
CRQ-7 Moderately Inverse Time Relay
CRQ-8 Inverse Time Relay
CRQ-9 Very Inverse Time Relay
CRQ-11 Extremely Inverse Time Relay

Source : Instruction Leaflet 41-163.2B
Effective: January 1977
Supersedes I.L. 41-137.3A, Dated September 1974",0,0,0,0
549,1,"CRQ-7","Type CRQ Directional Negative Sequence Relay for Ground Protection


CRQ-6 Definite Minimum Time Relay
CRQ-7 Moderately Inverse Time Relay
CRQ-8 Inverse Time Relay
CRQ-9 Very Inverse Time Relay
CRQ-11 Extremely Inverse Time Relay

Source : Instruction Leaflet 41-163.2B
Effective: January 1977
Supersedes I.L. 41-137.3A, Dated September 1974",0,0,0,0
550,1,"CRQ-8","Type CRQ Directional Negative Sequence Relay for Ground Protection


CRQ-6 Definite Minimum Time Relay
CRQ-7 Moderately Inverse Time Relay
CRQ-8 Inverse Time Relay
CRQ-9 Very Inverse Time Relay
CRQ-11 Extremely Inverse Time Relay

Source : Instruction Leaflet 41-163.2B
Effective: January 1977
Supersedes I.L. 41-137.3A, Dated September 1974",0,0,0,0
551,1,"CRQ-9","Type CRQ Directional Negative Sequence Relay for Ground Protection


CRQ-6 Definite Minimum Time Relay
CRQ-7 Moderately Inverse Time Relay
CRQ-8 Inverse Time Relay
CRQ-9 Very Inverse Time Relay
CRQ-11 Extremely Inverse Time Relay

Source : Instruction Leaflet 41-163.2B
Effective: January 1977
Supersedes I.L. 41-137.3A, Dated September 1974",0,0,0,0
1246,1,"CWP-1","Type CWP-1
Sensitive Directional Ground Relay

Source : WEC_CWP-1-3.pdf",1,0,0,0
167,1,"DPU","Distribution Protection Unit
Time-Current Curves

Source: ABB T&D Company Inc.
Descriptive Bulletin 41-216M
January 1991
TCC#     Rev  Date                Curve
605840  2      June 1986   Inverse
605841  2      June 1986   Very Inverse
605842  2      June 1986   Extremely Inverse
605844  2      June 1986   Short Time Inverse
605856  0       Oct., 1991  Curve # 8
 ",1,1,0,0
852,1,"DPU 445H","ABB Distribution Protection Unit.
Catalog Series 245D/445H/445V

Source : IB-7.11.1.7-1



",1,0,0,0
168,1,"DPU-2000","Distribution Protection Unit-2000
Time-Current Curves

Source: ABB T&D Company Inc.
Descriptive Bulletin 41-217M
August 1993
TCC#     Rev  Date                Curve
605854  0      Oct   1991   Inverse
605841  2      June 1986   Very Inverse
605842  2      June 1986   Extremely Inverse
605855  0      Oct   1991   Short Time Inverse
605856  0      Oct   1991  Curve # 8
 ",1,1,0,0
812,1,"DPU-2000R","ABB Distribution Protection Unit DPU2000R

Source: ABB DPU2000R Instruction Book and Addendum.pdf",1,1,0,0
359,1,"GKC","Types GKC, GKT Ground Fault Relay Systems
ABB

Descriptibve Buletin 41-181S
",0,1,0,0
360,1,"GKT","Types GKC, GKT Ground Fault Relay Systems
ABB

Descriptibve Buletin 41-181S
",0,1,0,0
458,1,"GPU-2000R","ABB Generator Protection Unit 2000R

Source : 7111710b.pdf",1,1,2,0
