"ID","Section_ID","MinPickup","MaxPickup","LRUnit"
34351,34350,1.03,40.00,0
45756,45755,1.03,40.00,0
45783,45782,1.03,40.00,0
45811,45810,1.03,40.00,0
60656,60655,1.03,40.00,0
60661,60660,1.03,40.00,0
60666,60665,1.03,40.00,0
62001,62000,1.03,40.00,0
67583,67582,1.03,40.00,0
75084,75083,1.03,40.00,0
86557,86556,1.03,40.00,0
86562,86561,1.03,40.00,0
86567,86566,1.03,40.00,0
