"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
70784,"IEC Extremely Inverse",30,80.00,2.00,,
70784,"IEC Long Time Inverse",40,120.00,1.00,,
70784,"IEC Std Inverse",10,0.14,0.02,,
70784,"IEC Very Inverse",20,13.50,1.00,,
70803,"IEC Extremely Inverse",30,80.00,2.00,,
70803,"IEC Long Time Inverse",40,120.00,1.00,,
70803,"IEC Std Inverse",10,0.14,0.02,,
70803,"IEC Very Inverse",20,13.50,1.00,,
70809,"IEC Extremely Inverse",30,80.00,2.00,,
70809,"IEC Long Time Inverse",40,120.00,1.00,,
70809,"IEC Std Inverse",10,0.14,0.02,,
70809,"IEC Very Inverse",20,13.50,1.00,,
70835,"IEC Extremely Inverse",30,80.00,2.00,,
70835,"IEC Long Time Inverse",40,120.00,1.00,,
70835,"IEC Std Inverse",10,0.14,0.02,,
70835,"IEC Very Inverse",20,13.50,1.00,,
70947,"IEC Extremely Inverse",30,80.00,2.00,,
70947,"IEC Long Time Inverse",40,120.00,1.00,,
70947,"IEC Std Inverse",10,0.14,0.02,,
70947,"IEC Very Inverse",20,13.50,1.00,,
70947,"Rectifiert",50,45900.00,5.60,,
70963,"IEC Extremely Inverse",30,80.00,2.00,,
70963,"IEC Long Time Inverse",40,120.00,1.00,,
70963,"IEC Std Inverse",10,0.14,0.02,,
70963,"IEC Very Inverse",20,13.50,1.00,,
70963,"Rectifiert",50,45900.00,5.60,,
70977,"IEC Extremely Inverse",30,80.00,2.00,,
70977,"IEC Long Time Inverse",40,120.00,1.00,,
70977,"IEC Std Inverse",10,0.14,0.02,,
70977,"IEC Very Inverse",20,13.50,1.00,,
70977,"Rectifiert",50,45900.00,5.60,,
70993,"IEC Extremely Inverse",30,80.00,2.00,,
70993,"IEC Long Time Inverse",40,120.00,1.00,,
70993,"IEC Std Inverse",10,0.14,0.02,,
70993,"IEC Very Inverse",20,13.50,1.00,,
70993,"Rectifiert",50,45900.00,5.60,,
71007,"IEC Extremely Inverse",30,80.00,2.00,,
71007,"IEC Long Time Inverse",40,120.00,1.00,,
71007,"IEC Std Inverse",10,0.14,0.02,,
71007,"IEC Very Inverse",20,13.50,1.00,,
71007,"Rectifiert",50,45900.00,5.60,,
71021,"IEC Extremely Inverse",30,80.00,2.00,,
71021,"IEC Long Time Inverse",40,120.00,1.00,,
71021,"IEC Std Inverse",10,0.14,0.02,,
71021,"IEC Very Inverse",20,13.50,1.00,,
71021,"Rectifiert",50,45900.00,5.60,,
71035,"Ext Inv",30,80.00,2.00,,
71035,"Long Inv",40,120.00,1.00,,
71035,"Norm Inv",10,0.14,0.02,,
71035,"Very Inv",20,13.50,1.00,,
71039,"Ext Inv",30,80.00,2.00,,
71039,"Long Inv",40,120.00,1.00,,
71039,"Norm Inv",10,0.14,0.02,,
71039,"Very Inv",20,13.50,1.00,,
71095,"Extremely Inverse",10,80.00,2.00,,
71124,"Ext Inv",30,80.00,2.00,,
71124,"Std Inv",10,0.14,0.02,,
71124,"V Inv",20,13.50,1.00,,
71159,"Ext Inv",30,80.00,2.00,,
71159,"Std Inv",10,0.14,0.02,,
71159,"V Inv",20,13.50,1.00,,
71177,"Ext Inv",30,80.00,2.00,,
71177,"Std Inv",10,0.14,0.02,,
71177,"V Inv",20,13.50,1.00,,
71194,"Extremely Inverse",10,80.00,2.00,,
71263,"Ext Inv",30,80.00,2.00,,
71263,"Std Inv",10,0.14,0.02,,
71263,"V Inv",20,13.50,1.00,,
71308,"IEC Curve A",10,0.14,0.02,,
71308,"IEC Curve B",20,13.50,1.00,,
71308,"IEC Curve C",30,80.00,2.00,,
71308,"IEC Short Inv",40,0.05,0.04,,
71331,"IEC Curve A",10,0.14,0.02,,
71331,"IEC Curve B",20,13.50,1.00,,
71331,"IEC Curve C",30,80.00,2.00,,
71331,"IEC Short Inv",40,0.05,0.04,,
71365,"IEC Curve A",10,0.14,0.02,,
71365,"IEC Curve B",20,13.50,1.00,,
71365,"IEC Curve C",30,80.00,2.00,,
71365,"IEC Short Inv",40,0.05,0.04,,
71399,"IEC Curve A",10,0.14,0.02,,
71399,"IEC Curve B",20,13.50,1.00,,
71399,"IEC Curve C",30,80.00,2.00,,
71399,"IEC Short Inv",40,0.05,0.04,,
71457,"Ext Inv",30,80.00,2.00,,
71457,"Std Inv",10,0.14,0.02,,
71457,"V Inv",20,13.50,1.00,,
71475,"Curve A (BS142)",10,0.14,0.02,,
71475,"Curve B (BS142)",20,13.50,1.00,,
71475,"Curve C (BS142)",30,80.00,2.00,,
71475,"Short Inverse",40,0.05,0.04,,
71501,"Curve A (BS142)",10,0.14,0.02,,
71501,"Curve B (BS142)",20,13.50,1.00,,
71501,"Curve C (BS142)",30,80.00,2.00,,
71501,"Short Inverse",40,0.05,0.04,,
71526,"Curve A (BS142)",10,0.14,0.02,,
71526,"Curve B (BS142)",20,13.50,1.00,,
71526,"Curve C (BS142)",30,80.00,2.00,,
71526,"Short Inverse",40,0.05,0.04,,
71609,"IEC Curve A",10,0.14,0.02,,
71609,"IEC Curve B",20,13.50,1.00,,
71609,"IEC Curve C",30,80.00,2.00,,
71609,"IEC Short Inv",40,0.05,0.04,,
71632,"IEC Curve A",10,0.14,0.02,,
71632,"IEC Curve B",20,13.50,1.00,,
71632,"IEC Curve C",30,80.00,2.00,,
71632,"IEC Short Inv",40,0.05,0.04,,
71666,"IEC Curve A",10,0.14,0.02,,
71666,"IEC Curve B",20,13.50,1.00,,
71666,"IEC Curve C",30,80.00,2.00,,
71666,"IEC Short Inv",40,0.05,0.04,,
71700,"IEC Curve A",10,0.14,0.02,,
71700,"IEC Curve B",20,13.50,1.00,,
71700,"IEC Curve C",30,80.00,2.00,,
71700,"IEC Short Inv",40,0.05,0.04,,
71729,"Curve A (BS142)",10,0.14,0.02,,
71729,"Curve B (BS142)",20,13.50,1.00,,
71729,"Curve C (BS142)",30,80.00,2.00,,
71729,"Short Inverse",40,0.05,0.04,,
71755,"Curve A (BS142)",10,0.14,0.02,,
71755,"Curve B (BS142)",20,13.50,1.00,,
71755,"Curve C (BS142)",30,80.00,2.00,,
71755,"Short Inverse",40,0.05,0.04,,
71780,"Curve A (BS142)",10,0.14,0.02,,
71780,"Curve B (BS142)",20,13.50,1.00,,
71780,"Curve C (BS142)",30,80.00,2.00,,
71780,"Short Inverse",40,0.05,0.04,,
71807,"Curve A (BS142)",10,0.14,0.02,,
71807,"Curve B (BS142)",20,13.50,1.00,,
71807,"Curve C (BS142)",30,80.00,2.00,,
71807,"Short Inverse",40,0.05,0.04,,
71833,"Curve A (BS142)",10,0.14,0.02,,
71833,"Curve B (BS142)",20,13.50,1.00,,
71833,"Curve C (BS142)",30,80.00,2.00,,
71833,"Short Inverse",40,0.05,0.04,,
71858,"Curve A (BS142)",10,0.14,0.02,,
71858,"Curve B (BS142)",20,13.50,1.00,,
71858,"Curve C (BS142)",30,80.00,2.00,,
71858,"Short Inverse",40,0.05,0.04,,
72032,"Extremely Inverse",30,80.00,2.00,,
72032,"Long-time Inverse",40,120.00,1.00,,
72032,"Normal Inverse",10,0.14,0.02,,
72032,"Very Inverse",20,13.50,1.00,,
72040,"Extremely Inverse",30,80.00,2.00,,
72040,"Long-time Inverse",40,120.00,1.00,,
72040,"Normal Inverse",10,0.14,0.02,,
72040,"Very Inverse",20,13.50,1.00,,
72146,"IEC Ext Inv",30,80.00,2.00,,0.04
72146,"IEC LT Inv",50,120.00,1.00,,0.04
72146,"IEC Normal Inv",10,0.14,0.02,,0.04
72146,"IEC ST Inv",40,0.05,0.04,,0.04
72146,"IEC Very Inv",20,13.50,1.00,,0.04
72162,"IEC Ext Inv",30,80.00,2.00,,0.04
72162,"IEC LT Inv",50,120.00,1.00,,0.04
72162,"IEC Normal Inv",10,0.14,0.02,,0.04
72162,"IEC ST Inv",40,0.05,0.04,,0.04
72162,"IEC Very Inv",20,13.50,1.00,,0.04
