"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
75061,"S Inv",50,0.05,0.04,,
75061,"V Inv",20,13.50,1.00,,
75117,"IEC Curve A",10,0.14,0.02,,
75117,"IEC Curve B",20,13.50,1.00,,
75117,"IEC Curve C",30,80.00,2.00,,
75117,"IEC Short Inv",40,0.05,0.04,,
75151,"IEC Curve A",10,0.14,0.02,,
75151,"IEC Curve B",20,13.50,1.00,,
75151,"IEC Curve C",30,80.00,2.00,,
75151,"IEC Short Inv",40,0.05,0.04,,
76209,"E Inv",30,80.00,2.00,20.00,
76209,"L Inv",40,120.00,1.00,20.00,
76209,"N Inv",10,0.14,0.02,20.00,
76209,"V Inv",20,13.50,1.00,20.00,
76226,"E Inv",30,80.00,2.00,20.00,
76226,"L Inv",40,120.00,1.00,20.00,
76226,"N Inv",10,0.14,0.02,20.00,
76226,"V Inv",20,13.50,1.00,20.00,
76243,"E Inv",30,80.00,2.00,20.00,
76243,"L Inv",40,120.00,1.00,20.00,
76243,"N Inv",10,0.14,0.02,20.00,
76243,"V Inv",20,13.50,1.00,20.00,
76260,"E Inv",30,80.00,2.00,20.00,
76260,"L Inv",40,120.00,1.00,20.00,
76260,"N Inv",10,0.14,0.02,20.00,
76260,"V Inv",20,13.50,1.00,20.00,
76284,"E Inv",30,80.00,2.00,20.00,
76284,"L Inv",40,120.00,1.00,20.00,
76284,"N Inv",10,0.14,0.02,20.00,
76284,"V Inv",20,13.50,1.00,20.00,
76301,"E Inv",30,80.00,2.00,20.00,
76301,"L Inv",40,120.00,1.00,20.00,
76301,"N Inv",10,0.14,0.02,20.00,
76301,"V Inv",20,13.50,1.00,20.00,
76318,"E Inv",30,80.00,2.00,20.00,
76318,"L Inv",40,120.00,1.00,20.00,
76318,"N Inv",10,0.14,0.02,20.00,
76318,"V Inv",20,13.50,1.00,20.00,
76335,"E Inv",30,80.00,2.00,20.00,
76335,"L Inv",40,120.00,1.00,20.00,
76335,"N Inv",10,0.14,0.02,20.00,
76335,"V Inv",20,13.50,1.00,20.00,
