Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-A-O4,ANODE(-) NO.1 CLEANER (BACK),1,480,250,225
1FOEL-BD-A-O4,ANODE(-) NO.1 BACK SLURRY TRANS PANEL,2,480,150,100
1FOEL-BD-A-O4,ANODE(-) FEED VESSEL 1(300L) BACK,3,480,250,150
1FOEL-BD-A-O4,ANODE(-) FEED VESSEL 1(300L) BACK,4,480,250,150
1FOEL-BD-A-O4,ANODE(-) TRANSFER TANK 1(800L) BACK,5,480,250,150
1FOEL-BD-A-O4,ANODE(-) TRANSFER TANK 1(800L) BACK,6,480,250,150
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-1,7,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-2,8,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-3,9,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-1,10,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-2,11,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 2-3,12,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER ACO POWER PANEL,13,480,400,400
1FOEL-BD-A-O4,ANODE(-) COATER ACO POWER PANEL,14,480,400,400
1FOEL-BD-A-O4,ANODE(-) COATER AC2 POWER PANEL,15,480,400,400
1FOEL-BD-A-O4,ANODE(-) COATER AC2 POWER PANEL,16,480,400,400
1FOEL-BD-A-O4,ANODE(-) COATER PUA PANEL,17,480,150,100
1FOEL-BD-A-O4,ANODE(-) COATER PUA PANEL,18,480,150,100
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 1-1,19,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 1-2,20,480,600,600
1FOEL-BD-A-O4,ANODE(-) COATER HEATER PANEL 1-3,21,480,600,600
