Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-C-O3,CATHODE(+) AC3A POWER PANEL,1,480,250,250
1FOEL-BD-C-O3,CATHODE(+) AC3B POWER PANEL,2,480,250,250
1FOEL-BD-C-O3,CATHODE(+) AC4A POWER PANEL,3,480,250,250
1FOEL-BD-C-O3,CATHODE(+) AC4B POWER PANEL,4,480,250,250
1FOEL-BD-C-O3,CATHODE(+) AC5 POWER PANEL,5,480,250,250
1FOEL-BD-C-O3,CATHODE(+) AC6 POWER PANEL,6,480,400,400
1FOEL-BD-C-O3,CATHODE(+) AC7 POWER PANEL,7,480,400,400
1FOEL-BD-C-O3,CATHODE(+) COATER PUA PANEL,8,480,150,125
1FOEL-BD-C-O3,CATHODE(+) COATER PUB PANEL,9,480,150,50
1FOEL-BD-C-O3,CATHODE(+) NO.1 BACK SLURRY TRANSFER PANEL,10,480,150,100
1FOEL-BD-C-O3,CATHODE(+) NO.2 BACK SLURRY TRANSFER PANEL,11,480,150,100
1FOEL-BD-C-O3,CATHODE(+) FEED VESSEL WH-C11V1(300L) TOP,12,480,250,150
1FOEL-BD-C-O3,CATHODE(+) FEED VESSEL WH-C11V2(300L) BACK,13,480,250,150
1FOEL-BD-C-O3,CATHODE(+) FEED VESSEL WH-C21V1(300L) TOP,14,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.3-1 WH-C3I01,15,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.3-2 WH-C3201,16,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.3-3 WH-C3301,17,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.3-1 CHILLER,18,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.3-2 CHILLER,19,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.3-3 CHILLER,20,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO. 3-1 CHILLER,21,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO. 3-2 CHILLER,22,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO. 3-3 CHILLER,23,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.2-1 WH-C2101,24,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.2-2 WH-C2201,25,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.2-3 WH-C2301,26,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.2-1 CHILLER,27,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.2-2 CHILLER,28,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.2-3 CHILLER,29,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.2-1 CHILLER,30,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.2-2 CHILLER,31,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.2-3 CHILLER,32,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.1-1 WH-C1101,33,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.1-2 WH-C1201,34,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BINDER MIXER NO.1-3 WH-C1301,35,480,250,200
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.1-1 CHILLER,36,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.1-2 CHILLER,37,480,250,150
1FOEL-BD-C-O3,CATHODE(+) BTM MIXER NO.1-3 CHILLER,38,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.1-1 CHILLER,39,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.1-2 CHILLER,40,480,250,150
1FOEL-BD-C-O3,CATHODE(+) PRE MIXER NO.1-3 CHILLER,41,480,250,150
1FOEL-BD-C-O3,CATHODE(+) NO.1 TOP SLURRY TRANSFER PANEL,42,480,150,100
1FOEL-BD-C-O3,CATHODE(+) NO.2 TOP SLURRY TRANSFER PANEL,43,480,150,100
1FOEL-BD-C-O3,CATHODE(+) TRANSFER TANK WH-C11M1(800L) TOP,44,480,250,150
1FOEL-BD-C-O3,CATHODE(+) TRANSFER TANK WH-C12M1(800L) BACK,46,480,250,150
1FOEL-BD-C-O3,CATHODE(+) TRANSFER TANK WH-C21M1(800L) TOP,48,480,250,150
1FOEL-BD-C-O3,CATHODE(+) NO.3-1 MCC#1,50,480,400,300
1FOEL-BD-C-O3,CATHODE(+) NO.3-2 MCC#1,51,480,400,300
1FOEL-BD-C-O3,CATHODE(+) NO.3-3 MCC#1,52,480,400,300
1FOEL-BD-C-O3,CATHODE(+) NO.3-1 MCC#2 (PRE MIXER),53,480,600,600
1FOEL-BD-C-O3,CATHODE(+) NO.3-2 MCC#2 (PRE MIXER),54,480,600,600
1FOEL-BD-C-O3,CATHODE(+) NO.3-3 MCC#2 (PRE MIXER),55,480,600,600
1FOEL-BD-C-O3,CATHODE(+) NO.3-1 EMF(SLURRY),56,480,250,175
1FOEL-BD-C-O3,CATHODE(+) NO.3-1-3-2 EMF(PRE MIXER),57,480,250,175
1FOEL-BD-C-O3,CATHODE(+) NO.3-1 NETZSCH,58,480,250,200
1FOEL-BD-C-O3,CATHODE(+) NO.3-1 NETZSCH,59,480,250,200
