Bus_Duct,Equipment,Tag_Num,Volts,Amp_Frame,Amp_Trip
1FOEL-BD-A-O1,ANODE(-) NO.1-1 PD MIXER,1,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.1-2 PD MIXER,2,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.1-3 PD MIXER,3,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.1-4 PD MIXER,4,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.1-1 MCC#1,5,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.1-2 MCC#1,6,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.1-3 MCC#1,7,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.1-4 MCC#1,8,480,400,300
1FOEL-BD-A-O1,ANODE HOIST POWER DIST,13,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.2-1 PD MIXER,14,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.2-2 PD MIXER,15,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.2-3 PD MIXER,16,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.2-4 PD MIXER,17,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.2-1 MCC#1,18,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.2-2 MCC#1,19,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.2-3 MCC#1,20,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.2-4 MCC#1,21,480,400,300
1FOEL-BD-A-O1,ANODE HOIST POWER DIST,26,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.3-1 PD MIXER,27,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.3-2 PD MIXER,28,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.3-3 PD MIXER,29,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.3-4 PD MIXER,30,480,600,500
1FOEL-BD-A-O1,ANODE(-) NO.3-1 MCC#1,31,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.3-1 MCC#2,32,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.3-1 MCC#3,33,480,400,300
1FOEL-BD-A-O1,ANODE(-) NO.3-1 MCC#4,34,480,400,300
1FOEL-BD-A-O1,ANODE DAM SLURRY BEAD MILL CONT PNL,38,480,250,100
1FOEL-BD-A-O1,ANODE HOIST POWER DIST,39,480,400,300
1FOEL-BD-A-O1,1FOEL-HPDP-3 01,40,480,600,600
1FOEL-BD-A-O1,1FOEL-HPP-2 02,41,480,400,250
1FOEL-BD-A-O1,ANODE DAM MIXER MOTOR CONT PNL,42,480,600,600
