device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Trip Units,Eaton,Power Defense,Power Defense,curve-book,AD013001EN.pdf,series nrx with pxr nf and rf frames AD013001EN,Trip Units/Eaton/Power Defense/series-nrx-with-pxr-nf-and-rf-frames-AD013001EN.pdf,local,,,lib-breakers,Eaton\series-nrx-with-pxr-nf-and-rf-frames-AD013001EN.pdf,,,
Trip Units,Eaton,Magnum,Magnum,curve-book,IL70C1037H05,digitrip trip 520 Manual,Trip Units/Eaton/Magnum/digitrip-trip-520 Manual.pdf,local,,,lib-breakers,Eaton Digitrip 520\digitrip-trip-520 Manual.pdf,,,
Trip Units,General Electric,VersaTrip,VersaTrip,curve-book,DESCRIPTION,GE Ground Fault Testing Guide,Trip Units/General Electric/VersaTrip/GE Ground Fault Testing Guide.pdf,local,,,lib-breakers,GE Ground Fault Testing Guide.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,il2c12702.pdf,compact motor operator in magnum low voltage circuit breakers il2c12702,Trip Units/Eaton/Power Defense/compact-motor-operator-in-magnum-low-voltage-circuit-breakers-il2c12702.pdf,local,,,lib-breakers,Magnum DS Brkr\compact-motor-operator-in-magnum-low-voltage-circuit-breakers-il2c12702.pdf,,,
Breakers,Eaton,Magnum,Magnum,curve-book,IB2C12060H12,DS DC DSX DSL & MDE installation and operation instructions,Breakers/Eaton/Magnum/DS_DC_DSX_DSL & MDE installation and operation instructions.pdf,local,,,lib-breakers,Magnum DS Brkr\DS_DC_DSX_DSL & MDE installation and operation instructions.pdf,,,
Breakers,Eaton,Magnum,Magnum,curve-book,illustrated,Eaton Magnum DS GF Instructions,Breakers/Eaton/Magnum/Eaton Magnum DS GF Instructions.pdf,local,,,lib-breakers,Magnum DS Brkr\Eaton Magnum DS GF Instructions.pdf,,,
Trip Units,Eaton,Magnum,Magnum,curve-book,IB2C13060H05,IB2C13060H05 IEC instruction booklet,Trip Units/Eaton/Magnum/IB2C13060H05_ IEC instruction booklet.pdf,local,,,lib-breakers,Magnum DS Brkr\IB2C13060H05_ IEC instruction booklet.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,IL2C13769H08,IL2C13769H08 magnum standard motor,Trip Units/Eaton/Power Defense/IL2C13769H08-magnum-standard-motor.pdf,local,,,lib-breakers,Magnum DS Brkr\IL2C13769H08-magnum-standard-motor.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,IL2C14760H05,IL2C14760H05 uvr,Trip Units/Eaton/Power Defense/IL2C14760H05-uvr.pdf,local,,,lib-breakers,Magnum DS Brkr\IL2C14760H05-uvr.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,IL2C14761H07,IL2C14761H07 spring release,Trip Units/Eaton/Power Defense/IL2C14761H07-spring-release.pdf,local,,,lib-breakers,Magnum DS Brkr\IL2C14761H07-spring-release.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,IL2C14762H07,IL2C14762H07 shunt trip,Trip Units/Eaton/Power Defense/IL2C14762H07-shunt-trip.pdf,local,,,lib-breakers,Magnum DS Brkr\IL2C14762H07-shunt-trip.pdf,,,
Trip Units,Eaton,Magnum,Magnum,curve-book,Case,Magnum DS,Trip Units/Eaton/Magnum/Magnum DS.pdf,local,,,lib-breakers,Magnum DS Brkr\Magnum DS.pdf,,,
Breakers,Siemens,Siemens,Siemens,curve-book,cause,3WL3 operating manual NAFTA UL1066 engl 2015 201512101417115285,Breakers/Siemens/Siemens/3WL3_operating_manual_NAFTA_UL1066_engl_2015_201512101417115285.pdf,local,,,lib-breakers,Siemens\3WL3_operating_manual_NAFTA_UL1066_engl_2015_201512101417115285.pdf,,,
Breakers,Siemens,Siemens,Siemens,curve-book,cators,sb series,Breakers/Siemens/Siemens/sb_series.pdf,local,,,lib-breakers,Siemens\sb_series.pdf,,,
Breakers,Siemens,Siemens,Siemens,curve-book,,sie sa wl selection guide,Breakers/Siemens/Siemens/sie-sa-wl-selection-guide.pdf,local,,,lib-breakers,Siemens\sie-sa-wl-selection-guide.pdf,,,
Trip Units,Schneider Electric,Micrologic,Micrologic,curve-book,Case,2 Micrologic Series B 0602CT9201R201 2022,Trip Units/Schneider Electric/Micrologic/2 Micrologic Series B 0602CT9201R201 - 2022.pdf,local,,,lib-breakers,SQ-D Schneider\2 Micrologic Series B 0602CT9201R201 - 2022.pdf,,,
Trip Units,Schneider Electric,Masterpact,Masterpact,curve-book,can,Micrologic Series A,Trip Units/Schneider Electric/Masterpact/Micrologic Series A.pdf,local,,,lib-breakers,SQ-D Schneider\Micrologic Series A.pdf,,,
Breakers,Schneider Electric,PowerPacT,PowerPacT,curve-book,Destornillador,PowerPacT P Frame & NS,Breakers/Schneider Electric/PowerPacT/PowerPacT P-Frame & NS.pdf,local,,,lib-breakers,SQ-D Schneider\PowerPacT P-Frame & NS.pdf,,,
Trip Units,ABB,SACE Emax 2,SACE Emax 2,instruction-manual,1SDH001330R0002.pdf,1SDH001330R0002,Trip Units/ABB/SACE Emax 2/1SDH001330R0002.pdf,local,,,lib-trips,ABB\1SDH001330R0002.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,SACE Tmax XT UL Ekip Dip Settings Guide 1SXU210266G0201_Rev D,_quarantine/lib-trips/SACE Tmax XT UL Ekip Dip Settings Guide 1SXU210266G0201_Rev D.xlsx,local,,,lib-trips,ABB\SACE Tmax XT UL Ekip Dip Settings Guide 1SXU210266G0201_Rev D.xlsx,,,non-PDF or invalid PDF
Trip Units,Utility Relay,AC-PRO,AC-PRO,catalog,,I AC PRO MP,Trip Units/Utility Relay/AC-PRO/I-AC-PRO-MP.pdf,local,,,lib-trips,AC Pro\I-AC-PRO-MP.pdf,,,
Trip Units,Allen-Bradley,140G,140G,instruction-manual,carefully,140g in068 mu p,Trip Units/Allen-Bradley/140G/140g-in068_-mu-p.pdf,local,,,lib-trips,Allen Bradley\140g-in068_-mu-p.pdf,,,
Trip Units,Allen-Bradley,140G,140G,instruction-manual,ADVERTENCIA,140g in152 mu p,Trip Units/Allen-Bradley/140G/140g-in152_-mu-p.pdf,local,,,lib-trips,Allen Bradley\140g-in152_-mu-p.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,Digitrip 520 Trip Curve Calculator,_quarantine/lib-trips/Digitrip 520 Trip Curve Calculator.xls,local,,,lib-trips,Digitrip 520 Trip Curve Calculator.xls,,,non-PDF or invalid PDF
_quarantine,Unknown,Unclassified,,tool,,Digitrip 520 Trip Curve Calculator,_quarantine/lib-trips/Digitrip 520 Trip Curve Calculator.xlsx,local,,,lib-trips,Digitrip 520 Trip Curve Calculator.xlsx,,,non-PDF or invalid PDF
Trip Units,Eaton,Magnum,Magnum,curve-book,can,digitrip 1150 1150i instantaneous curve time current curve 70c1043,Trip Units/Eaton/Magnum/digitrip-1150-1150i-instantaneous-curve-time-current-curve-70c1043.pdf,local,,,lib-trips,Eaton\digitrip-1150-1150i-instantaneous-curve-time-current-curve-70c1043.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,Description,eaton td013172en magnum pxr tcc,Trip Units/Eaton/Power Defense/eaton_td013172en_magnum pxr_tcc.pdf,local,,,lib-trips,Eaton\eaton_td013172en_magnum pxr_tcc.pdf,,,
Trip Units,Eaton,Magnum,Magnum,instruction-manual,il70c1036h06.pdf,magnum digitrip 1150 1150i 1150 and 1150i trip units user manual il70c1036h06,Trip Units/Eaton/Magnum/magnum-digitrip-1150-1150i-1150-and-1150i-trip-units-user-manual-il70c1036h06.pdf,local,,,lib-trips,Eaton\magnum-digitrip-1150-1150i-1150-and-1150i-trip-units-user-manual-il70c1036h06.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,instruction-manual,DEH-4567C,Entelliguard GF Protection,Trip Units/General Electric/EntelliGuard/Entelliguard GF Protection.pdf,local,,,lib-trips,GE\Entelliguard GF Protection.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,New Digitrip 1150 Trip Curve Calculator,_quarantine/lib-trips/New Digitrip 1150 Trip Curve Calculator.xls,local,,,lib-trips,New Digitrip 1150 Trip Curve Calculator.xls,,,non-PDF or invalid PDF
Trip Units,Siemens,Siemens,Siemens,instruction-manual,catalog,3VA manual molded case circuit breakers en en US,Trip Units/Siemens/Siemens/3VA_manual_molded_case_circuit_breakers_en_en-US.pdf,local,,,lib-trips,Siemens\3VA_manual_molded_case_circuit_breakers_en_en-US.pdf,,,
