device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Breakers,Unknown,Unclassified,Unclassified,instruction-manual,DON-1600S,Manualslib,Breakers/Unknown/Unclassified/3aaaef.pdf,local,,,staging,3aaaef.pdf,Y,,
Breakers,Siemens,Unclassified,Unclassified,instruction-manual,despersonnes,1Alle Rechte vorbehalten,Breakers/Siemens/Unclassified/3vf93.pdf,local,,,staging,3vf93.pdf,,,
Breakers,Siemens,Unclassified,Unclassified,catalog,descrip,3vm brochura 2019 09 26 en,Breakers/Siemens/Unclassified/3vm-brochura-2019-09-26-en.pdf,local,,,staging,3vm-brochura-2019-09-26-en.pdf,,,
Breakers,General Electric,Unclassified,Unclassified,catalog,Catalog,402132550 Spectronic SP Catalog pdf,Breakers/General Electric/Unclassified/402132550-Spectronic-SP-Catalog-pdf.pdf,local,,,staging,402132550-Spectronic-SP-Catalog-pdf.pdf,,,
Trip Units,Square-D,Unclassified,Unclassified,catalog,Adam,443163417 breaker king obsolete book pdf,Trip Units/Square-D/Unclassified/443163417-breaker-king-obsolete-book-pdf.pdf,local,,,staging,443163417-breaker-king-obsolete-book-pdf.pdf,,,
Breakers,Schneider Electric,M-Pact Plus,M-Pact Plus,catalog,Mpactplus-400-6300A,443882807 Mpactplus 400 6300A,Breakers/Schneider Electric/M-Pact Plus/443882807-Mpactplus-400-6300A.pdf,local,,,staging,443882807-Mpactplus-400-6300A.pdf,,,
Trip Units,LSIS,Susol,Susol,catalog,,466206552 LS A1TD TS Low Voltage Circuit Breaker,Trip Units/LSIS/Susol/466206552-LS-A1TD-TS-Low-Voltage-Circuit-Breaker.pdf,local,,,staging,466206552-LS-A1TD-TS-Low-Voltage-Circuit-Breaker.pdf,,,
Trip Units,General Electric,Power Break,Power Break,instruction-manual,DEH40391,Manualslib,Trip Units/General Electric/Power Break/4750d9.pdf,local,,,staging,4750d9.pdf,,,
Trip Units,Unknown,Selectivity,Selectivity,selectivity-table,Catalogue,484019416 Catalogue Record Plus English 7 pdf,Trip Units/Unknown/Selectivity/484019416-Catalogue-Record-Plus-English-7-pdf.pdf,local,,,staging,484019416-Catalogue-Record-Plus-English-7-pdf.pdf,Y,,
Breakers,WEG,Unclassified,Unclassified,instruction-manual,Case,506585104 WEG Acw Molded Case Circuit Breaker 50029482 Brochure English Dc,Breakers/WEG/Unclassified/506585104-WEG-Acw-Molded-Case-Circuit-Breaker-50029482-Brochure-English-Dc.pdf,local,,,staging,506585104-WEG-Acw-Molded-Case-Circuit-Breaker-50029482-Brochure-English-Dc.pdf,,,
Breakers,Schneider Electric,ComPacT NS,ComPacT NS,instruction-manual,cat,564702061 Compact NS user manual,Breakers/Schneider Electric/ComPacT NS/564702061-Compact-NS-user-manual.pdf,local,,,staging,564702061-Compact-NS-user-manual.pdf,,,
Breakers,Westinghouse,Unclassified,Unclassified,instruction-manual,Case,Manualslib,Breakers/Westinghouse/Unclassified/57fd14.pdf,local,,,staging,57fd14.pdf,,,
Trip Units,General Electric,Power Break,Power Break,instruction-manual,cards,Manualslib,Trip Units/General Electric/Power Break/5912fb.pdf,local,,,staging,5912fb.pdf,,,
Trip Units,Siemens,ETU,ETU,instruction-manual,63a682,Manualslib,Trip Units/Siemens/ETU/63a682.pdf,local,,,staging,63a682.pdf,,,
Breakers,Siemens,SENTRON 3VL,SENTRON 3VL,instruction-manual,LV18,724287363 MoldedCaseCircuitBreakers 3VL UL LV18 102019 EN 202003241845573615,Breakers/Siemens/SENTRON 3VL/724287363-MoldedCaseCircuitBreakers-3VL-UL-LV18-102019-EN-202003241845573615.pdf,local,,,staging,724287363-MoldedCaseCircuitBreakers-3VL-UL-LV18-102019-EN-202003241845573615.pdf,,,
Trip Units,ABB,Tmax XT,Tmax XT,catalog,,752514035 Tmax XT Product Presentation Ekip E,Trip Units/ABB/Tmax XT/752514035-Tmax-XT-Product-Presentation-Ekip-E.pdf,local,,,staging,752514035-Tmax-XT-Product-Presentation-Ekip-E.pdf,,,
Trip Units,General Electric,Power Break,Power Break,instruction-manual,Advanced,Manualslib,Trip Units/General Electric/Power Break/764c3d.pdf,local,,,staging,764c3d.pdf,,,
Breakers,ABB,SACE Emax,SACE Emax,catalog,illustrations,806264359 ABB EMAX,Breakers/ABB/SACE Emax/806264359-ABB-EMAX.pdf,local,,,staging,806264359-ABB-EMAX.pdf,,,
Breakers,ABB,Tmax XT,Tmax XT,catalog,Catalog.pdf,810609723 ABB MCCB TMAX Catalog,Breakers/ABB/Tmax XT/810609723-ABB-MCCB-TMAX-Catalog.pdf,local,,,staging,810609723-ABB-MCCB-TMAX-Catalog.pdf,,,
Breakers,Unknown,M-Pact,M-Pact,selectivity-table,design,870643927 ACB OMEGA,Breakers/Unknown/M-Pact/870643927-ACB-OMEGA.pdf,local,,,staging,870643927-ACB-OMEGA.pdf,Y,,
Breakers,Unknown,Unclassified,Unclassified,catalog,LVinsulated,9AKK108467A9440 en B BuyLog Section 8 LV insulated case circuit breakers,Breakers/Unknown/Unclassified/9AKK108467A9440_en_B_BuyLog Section 8_ LV insulated case circuit breakers.pdf,local,,,staging,9AKK108467A9440_en_B_BuyLog Section 8_ LV insulated case circuit breakers.pdf,Y,,
Breakers,Terasaki,Unclassified,Unclassified,instruction-manual,KRB-5220d,Manualslib,Breakers/Terasaki/Unclassified/9d1cf3.pdf,local,,,staging,9d1cf3.pdf,,,
Breakers,Unknown,WHG,WHG,catalog,capacity,ACB WHG Series WH.08ACB0824,Breakers/Unknown/WHG/ACB WHG Series WH.08ACB0824.pdf,local,,,staging,ACB WHG Series WH.08ACB0824.pdf,Y,,
Breakers,ABB,SACE Emax,SACE Emax,curve-book,1SXU000023C0202,all emax breakers,Breakers/ABB/SACE Emax/all_emax_breakers.pdf,local,,,staging,all_emax_breakers.pdf,,,
Breakers,Allen-Bradley,Series C,Series C,curve-book,Case,Allen Bradley Breakers & Motor Protectors,Breakers/Allen-Bradley/Series C/Allen Bradley Breakers & Motor Protectors.pdf,local,,,staging,Allen Bradley Breakers & Motor Protectors.pdf,,,
Breakers,OEZ,Unclassified,Unclassified,catalog,,ar02 2017 en web,Breakers/OEZ/Unclassified/ar02_2017_en_web.pdf,local,,,staging,ar02_2017_en_web.pdf,,,
Breakers,Changshu,Series C,Series C,catalog,address,Changsu CW1,Breakers/Changshu/Series C/Changsu CW1.pdf,local,,,staging,Changsu CW1.pdf,,,
Breakers,Changshu,Unclassified,Unclassified,catalog,Case,CM6 Series Moulded Case Circuit Breaker Quality ingenuity New interpretation CHANGSHU SWITCHGEAR MFG,Breakers/Changshu/Unclassified/CM6EN.pdf,local,,,staging,CM6EN.pdf,,,
Breakers,Schneider Electric,Series C,Series C,instruction-manual,DOCA0221EN,ComPacT NS 630 3200A User Guide DOCA0221EN 01,Breakers/Schneider Electric/Series C/ComPacT-NS-630-3200A-User-Guide-DOCA0221EN-01.pdf,local,,,staging,ComPacT-NS-630-3200A-User-Guide-DOCA0221EN-01.pdf,,,
Breakers,Schneider Electric,Series C,Series C,instruction-manual,DOCA0187EN,ComPacT NSX User Guide DOCA0187EN 03,Breakers/Schneider Electric/Series C/ComPacT-NSX-User-Guide-DOCA0187EN-03.pdf,local,,,staging,ComPacT-NSX-User-Guide-DOCA0187EN-03.pdf,,,
Breakers,Changshu,Unclassified,Unclassified,catalog,catalogue,CW1 SERIES INTELLIGENT AIR CIRCUIT BREAKERS CHANG SHU SWITCHGEA R MFG,Breakers/Changshu/Unclassified/CW1EN.pdf,local,,,staging,CW1EN.pdf,,,
Breakers,Changshu,Unclassified,Unclassified,instruction-manual,,C-1 CW6 series intelligent air circuit breaker Surprises everywhere on flagship performance CHANGSHU SWITCHGEAR MFG,Breakers/Changshu/Unclassified/CW6EN.pdf,local,,,staging,CW6EN.pdf,,,
Breakers,Unknown,Unclassified,Unclassified,catalog,DEA-013C.pdf,DEA 013C,Breakers/Unknown/Unclassified/DEA-013C.pdf,local,,,staging,DEA-013C.pdf,Y,,
Breakers,General Electric,Unclassified,Unclassified,catalog,DEJ-001.pdf,DEJ 001,Breakers/General Electric/Unclassified/DEJ-001.pdf,local,,,staging,DEJ-001.pdf,,,
Trip Units,General Electric,EntelliGuard,EntelliGuard,selectivity-table,DET-537E,DET 537E GE Overcurrent Device Inst Selectivity Tables,Trip Units/General Electric/EntelliGuard/DET-537E GE Overcurrent Device Inst Selectivity Tables.pdf,local,,,staging,DET-537E GE Overcurrent Device Inst  Selectivity Tables.pdf,,,
Breakers,Westinghouse,Unclassified,Unclassified,instruction-manual,illustrations,"j Westinghouse Electric Corporation Distribution and Control Business Unit Pittsburgh, PA 15220 Renewal Parts Data 33-79",Breakers/Westinghouse/Unclassified/ds206.pdf,local,,,staging,ds206.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,catalog,catalog,eaton acb izmx catalog ca01305001z en us,Trip Units/Eaton/Power Defense/eaton-acb-izmx-catalog-ca01305001z-en-us.pdf,local,,,staging,eaton-acb-izmx-catalog-ca01305001z-en-us.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,curve-book,mn013003en,eaton pxr 20 25 trip unit izmx16 40 instruction manual mn013003en en us,Trip Units/Eaton/Power Defense/eaton-pxr-20-25-trip-unit-izmx16-40-instruction-manual-mn013003en-en-us.pdf,local,,,staging,eaton-pxr-20-25-trip-unit-izmx16-40-instruction-manual-mn013003en-en-us.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,instruction-manual,mn013001en,eaton series nrx with pxr izmx16 type nf instruction manual mn013001en en us,Trip Units/Eaton/Power Defense/eaton-series-nrx-with-pxr-izmx16-type-nf-instruction-manual-mn013001en-en-us.pdf,local,,,staging,eaton-series-nrx-with-pxr-izmx16-type-nf-instruction-manual-mn013001en-en-us.pdf,,,
Trip Units,Eaton,Power Defense,Power Defense,instruction-manual,mn013002en,eaton series nrx with pxr izmx40 type rf instruction manual mn013002en en us,Trip Units/Eaton/Power Defense/eaton-series-nrx-with-pxr-izmx40-type-rf-instruction-manual-mn013002en-en-us.pdf,local,,,staging,eaton-series-nrx-with-pxr-izmx40-type-rf-instruction-manual-mn013002en-en-us.pdf,,,
Breakers,Siemens,SENTRON 3WA,SENTRON 3WA,instruction-manual,descriptions,EN Air circuit breakers 3WA,Breakers/Siemens/SENTRON 3WA/EN_Air_circuit_breakers_3WA.pdf,local,,,staging,EN_Air_circuit_breakers_3WA.pdf,,,
Breakers,Schneider Electric,M-Pact,M-Pact,instruction-manual,cassette,Manualslib,Breakers/Schneider Electric/M-Pact/f26bd6.pdf,local,,,staging,f26bd6.pdf,,,
Breakers,Schneider Electric,M-Pact Plus,M-Pact Plus,catalog,,GENERAL ELECTRIC M Pact Plus Breakers M Pact Plus,Breakers/Schneider Electric/M-Pact Plus/GENERAL ELECTRIC_M-Pact Plus Breakers_M-Pact Plus.pdf,local,,,staging,GENERAL ELECTRIC_M-Pact Plus Breakers_M-Pact Plus.pdf,,,
Trip Units,General Electric,Spectra,Spectra,catalog,GET-7002D.pdf,GET 7002D,Trip Units/General Electric/Spectra/GET-7002D.pdf,local,,,staging,GET-7002D.pdf,,,
Trip Units,General Electric,Power Break,Power Break,instruction-manual,Case,GET 8052D Power Break 2 12,Trip Units/General Electric/Power Break/GET-8052D_Power Break_2-12.pdf,local,,,staging,GET-8052D_Power Break_2-12.pdf,,,
Breakers,ABB,Unclassified,Unclassified,instruction-manual,dettagliata,ITSCE RH0061001,Breakers/ABB/Unclassified/ITSCE-RH0061001.pdf,local,,,staging,ITSCE-RH0061001.pdf,,,
Trip Units,Unknown,ComPacT NS,ComPacT NS,selectivity-table,cables,kupdf.net compact merlin gerin str,Trip Units/Unknown/ComPacT NS/kupdf.net_compact-merlin-gerin-str.pdf,local,,,staging,kupdf.net_compact-merlin-gerin-str.pdf,Y,,
Breakers,Schneider Electric,M-Pact,M-Pact,instruction-manual,Catalogue,M PACT Air Circuit Breaker User Manual,Breakers/Schneider Electric/M-Pact/M-PACT Air Circuit Breaker User Manual.pdf,local,,,staging,M-PACT Air Circuit Breaker User Manual.pdf,,,
Trip Units,Schneider Electric,Masterpact MTZ,Masterpact MTZ,instruction-manual,catalog.pdf,Masterpact MTZ catalog,Trip Units/Schneider Electric/Masterpact MTZ/Masterpact MTZ catalog.pdf,local,,,staging,Masterpact MTZ catalog.pdf,,,
Breakers,Westinghouse,Series C,Series C,catalog,Catalogue,MCCB E Series Catalogue V.5.6.20235,Breakers/Westinghouse/Series C/MCCB-E-Series Catalogue V.5.6.20235.pdf,local,,,staging,MCCB-E-Series Catalogue V.5.6.20235.pdf,,,
Breakers,Unknown,Unclassified,Unclassified,catalog,CASE,MCCB WH 01 MCCB0924,Breakers/Unknown/Unclassified/MCCB-WH-01-MCCB0924.pdf,local,,,staging,MCCB-WH-01-MCCB0924.pdf,Y,,
Breakers,LSIS,Susol,Susol,catalog,TD-TS,NU Susol UL(TD TS) MCCB 1504(0),Breakers/LSIS/Susol/NU Susol UL(TD_TS) MCCB_1504(0).pdf,local,,,staging,NU Susol UL(TD_TS) MCCB_1504(0).pdf,,,
Breakers,Eaton,Unclassified,Unclassified,instruction-manual,MN01219002Z,Artisan Technology Group is your source for quality new and certified-used/pre-owned equipment • FAST SHIPPING AND DELIV,Breakers/Eaton/Unclassified/nzm2.pdf,local,,,staging,nzm2.pdf,,,
Trip Units,Siemens,SENTRON 3VA,SENTRON 3VA,catalog,Design,oez 3va order code structure,Trip Units/Siemens/SENTRON 3VA/oez_3va_order_code_structure.pdf,local,,,staging,oez_3va_order_code_structure.pdf,,,
Trip Units,Eaton,Series NRX,Series NRX,instruction-manual,il01301051e.pdf,series nrx digitrip 520 operating manual il01301051e,Trip Units/Eaton/Series NRX/series-nrx-digitrip-520-operating-manual-il01301051e.pdf,local,,,staging,series-nrx-digitrip-520-operating-manual-il01301051e.pdf,,,
Breakers,Siemens,SENTRON 3VA,SENTRON 3VA,catalog,catalog.pdf,sie pc 3va catalog,Breakers/Siemens/SENTRON 3VA/sie-pc-3va-catalog.pdf,local,,,staging,sie-pc-3va-catalog.pdf,,,
Breakers,Schneider Electric,Masterpact,Masterpact,instruction-manual,Catalog,SqD MP NW DC,Breakers/Schneider Electric/Masterpact/SqD MP NW DC.pdf,local,,,staging,SqD MP NW DC.pdf,,,
Trip Units,Siemens,Static Trip II,Static Trip II,instruction-manual,descriptive,static trip ii,Trip Units/Siemens/Static Trip II/static_trip_ii.pdf,local,,,staging,static_trip_ii.pdf,,,
Trip Units,Westinghouse,Unclassified,Unclassified,instruction-manual,Adjustable,TECHNICALDATA29121A,Trip Units/Westinghouse/Unclassified/TECHNICALDATA29121A.pdf,local,,,staging,TECHNICALDATA29121A.pdf,,,
Trip Units,Terasaki,TemBreak,TemBreak,instruction-manual,Case,Terasaki TemBreak Pro Moulded Case Circuit Breaker Basic Electronic 160A to 630A User Manual,Trip Units/Terasaki/TemBreak/Terasaki-TemBreak-Pro-Moulded-Case-Circuit-Breaker-Basic-Electronic-160A-to-630A-User-Manual.pdf,local,,,staging,Terasaki-TemBreak-Pro-Moulded-Case-Circuit-Breaker-Basic-Electronic-160A-to-630A-User-Manual.pdf,,,
Breakers,Westinghouse,Unclassified,Unclassified,instruction-manual,Carbon,Type CL Carbon Circuit Breakers,Breakers/Westinghouse/Unclassified/Type CL Carbon Circuit Breakers.pdf,local,,,staging,Type CL Carbon Circuit Breakers.pdf,,,
Breakers,LSIS,Susol,Susol,catalog,Case,UL Smart MCCB Leaflet EN C010Y2 04 202512,Breakers/LSIS/Susol/UL_Smart_MCCB_Leaflet_EN_C010Y2-04-202512.pdf,local,,,staging,UL_Smart_MCCB_Leaflet_EN_C010Y2-04-202512.pdf,,,
Breakers,Unknown,Unclassified,Unclassified,curve-book,advance,W1000710,Breakers/Unknown/Unclassified/W1000710.pdf,local,,,staging,W1000710.pdf,Y,,
Breakers,Siemens,Unclassified,Unclassified,catalog,,W1001122,Breakers/Siemens/Unclassified/W1001122.pdf,local,,,staging,W1001122.pdf,,,
Trip Units,Unknown,Unclassified,Unclassified,instruction-manual,Description,W1001130,Trip Units/Unknown/Unclassified/W1001130.pdf,local,,,staging,W1001130.pdf,Y,,
Breakers,Westinghouse,M-Pact,M-Pact,catalog,capture,"Westinghouse ACB CHG,CSG Series WH 01 ACB03242","Breakers/Westinghouse/M-Pact/Westinghouse ACB - CHG,CSG Series WH-01-ACB03242.pdf",local,,,staging,"Westinghouse ACB - CHG,CSG Series WH-01-ACB03242.pdf",,,
Breakers,Eaton,Molded Case Circuit Breakers,Power Defense; Series G; Series C; PVGard; E2 Mining MCCB,catalog,CA08100005EN,Molded Case Circuit Breakers Catalog,Breakers/Eaton/Molded Case Circuit Breakers/Eaton - Molded Case Circuit Breakers - CA08100005EN.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/molded-case-circuit-breakers/mccb-catalog-v4-t2-ca08100005e.pdf,2026-06-07,web,mccb-catalog-v4-t2-ca08100005e.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Eaton,Magnum DS,Magnum DS; Magnum SB; Magnum IEC,catalog,CA013002EN,"Magnum DS, SB, and IEC Low Voltage Power Circuit Breakers",Breakers/Eaton/Magnum DS/Eaton - Magnum DS - CA013002EN.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/low-voltage-air-circuit-breakers/magnum-ds-sb-iec-low-voltage-power-circuit-breakers-ca013002en.pdf,2026-06-07,web,magnum-ds-sb-iec-low-voltage-power-circuit-breakers-ca013002en.pdf,,,verified PDF download; content-type=application/pdf
Trip Units,Eaton,Power Xpert Release,PXR trip units for Power Defense MCCBs,instruction-manual,MN012007EN,Power Xpert Release Trip Units for Power Defense MCCBs,Trip Units/Eaton/Power Xpert Release/Eaton - Power Xpert Release - MN012007EN.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/molded-case-circuit-breakers/power-defense-molded-case-circuit-breakers/power-xpert-release-trip-units-for-power-defense-mn012007en.pdf,2026-06-07,web,power-xpert-release-trip-units-for-power-defense-mn012007en.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Eaton,Selective Coordination,Eaton; Cutler-Hammer; Westinghouse; Challenger breaker combinations,selectivity-table,IA01200002E,Circuit Breaker Selective Coordination Tables,Breakers/Eaton/Selective Coordination/Eaton - Selective Coordination - IA01200002E.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/molded-case-circuit-breakers/selective-coordination-application-paper-ia01200002e.pdf,2026-06-07,web,selective-coordination-application-paper-ia01200002e.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Eaton,Panelboards,Cutler-Hammer molded-case breaker combinations,selectivity-table,IA01400001E,Selective Coordination Breaker Application by SCCR in Panelboards,Breakers/Eaton/Panelboards/Eaton - Panelboards - IA01400001E.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/low-voltage-power-distribution-controls-systems/panelboards/selective-coordination-breaker-applications-ia01400001e.pdf,2026-06-07,web,selective-coordination-breaker-applications-ia01400001e.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Cutler-Hammer,Series C L-Frame,Series C L-frame legacy Eaton; Westinghouse; Cutler-Hammer,curve-book,TD012035EN,Series C L-Frame Time/Current Curves,Breakers/Cutler-Hammer/Series C L-Frame/Cutler-Hammer - Series C L-Frame - TD012035EN.pdf,web-official,https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/molded-case-circuit-breakers/series-c-molded-case-circuit-breakers/ld-frame-time-current-curves-td012035en.pdf,2026-06-07,web,ld-frame-time-current-curves-td012035en.pdf,,,verified PDF download; content-type=application/pdf
Breakers,ABB,Tmax XT,SACE Tmax XT IEC molded case circuit breakers,catalog,1SDC210100D0205,SACE Tmax XT Low Voltage Molded Case Circuit Breakers,Breakers/ABB/Tmax XT/ABB - Tmax XT - 1SDC210100D0205.pdf,web-official,https://library.e.abb.com/public/af51e01127ae485581c3024eaedbf30c/Tmax%20XT_IEC_CATALOG_2020_1SDC210100D0205.pdf,2026-06-07,web,Tmax%20XT_IEC_CATALOG_2020_1SDC210100D0205.pdf,,,verified PDF download; content-type=application/pdf
Breakers,ABB,SACE Emax 2,SACE Emax 2 UL low voltage power circuit breakers; Ekip trip units,catalog,1SXU200040C0201,SACE Emax 2 Low Voltage Power Circuit Breakers,Breakers/ABB/SACE Emax 2/ABB - SACE Emax 2 - 1SXU200040C0201.pdf,web-official,https://library.e.abb.com/public/146d8db43d234a3d9f76b8f40f0b55d1/1SXU200040C0201-2020.03_%20Emax%202%20UL%20catalog.pdf,2026-06-07,web,1SXU200040C0201-2020.03_%20Emax%202%20UL%20catalog.pdf,,,verified PDF download; content-type=application/pdf
Breakers,ABB,Selectivity,ABB low-voltage circuit breaker selectivity,selectivity-table,1SDC007100G0205,Low Voltage Selectivity with ABB Circuit-Breakers,Breakers/ABB/Selectivity/ABB - Selectivity - 1SDC007100G0205.pdf,web-official,https://library.e.abb.com/public/0b0e2e3b4ea44a4099a2b5b008e8b65a/1SDC007100G0205_Low%20voltage%20selectivity%20QT1_02.2024.pdf,2026-06-07,web,1SDC007100G0205_Low%20voltage%20selectivity%20QT1_02.2024.pdf,,,verified PDF download; content-type=application/pdf
Breakers,General Electric,Selectivity,GE and ABB overcurrent devices; EntelliGuard; Power Break II; Spectra; Tmax XT; Emax 2,selectivity-table,DET-760G / 1SDC210066D0201,Guide to Instantaneous Selectivity Circuit Breaker Engineering Reference,Breakers/General Electric/Selectivity/General Electric - Selectivity - DET-760G _ 1SDC210066D0201.pdf,web-official,https://library.e.abb.com/public/f4e2a3a1f2d948e683583ae5152d58a3/Guide%20to%20Instantaneous%20Selectivity%201SDC210066D0201%2CDET760G.pdf,2026-06-07,web,Guide%20to%20Instantaneous%20Selectivity%201SDC210066D0201%2CDET760G.pdf,,,verified PDF download; content-type=application/pdf
Trip Units,Siemens,SENTRON 3VA,SENTRON 3VA molded case circuit breakers with electronic trip units,instruction-manual,A5E03603177010-03,SENTRON 3VA Molded Case Circuit Breakers with IEC Certificate,Trip Units/Siemens/SENTRON 3VA/Siemens - SENTRON 3VA - A5E03603177010-03.pdf,web-official,https://support.industry.siemens.com/cs/attachments/90318775/3VA_manual_molded_case_circuit_breakers_en_en-US.pdf,2026-06-07,web,3VA_manual_molded_case_circuit_breakers_en_en-US.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Siemens,SENTRON 3VA,3VA molded case circuit breaker selectivity,selectivity-table,SIE-PG-3VA-SelectivityGuide,Selectivity Guide for 3VA Molded Case Circuit Breakers,Breakers/Siemens/SENTRON 3VA/Siemens - SENTRON 3VA - SIE-PG-3VA-SelectivityGuide.pdf,web-official,https://support.industry.siemens.com/cs/attachments/109983282/SIE_PG_3VA_SelectivityGuide.pdf,2026-06-07,web,SIE_PG_3VA_SelectivityGuide.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Siemens,SENTRON 3VL,SENTRON 3VL molded case circuit breakers,instruction-manual,90042263,SENTRON Molded-Case Circuit Breakers 3VL,Breakers/Siemens/SENTRON 3VL/Siemens - SENTRON 3VL - 90042263.pdf,web-official,https://cache.industry.siemens.com/dl/files/263/90042263/att_104465/v1/SENTRON_molded-case_circuit_breakers_3VL_en-US.pdf,2026-06-07,web,SENTRON_molded-case_circuit_breakers_3VL_en-US.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Allen-Bradley,140G/140MG,Bulletin 140G and 140MG molded case circuit breakers,catalog,140G-TD101,Molded Case Circuit Breaker Specifications,Breakers/Allen-Bradley/140G_140MG/Allen-Bradley - 140G_140MG - 140G-TD101.pdf,web-official,https://literature.rockwellautomation.com/idc/groups/literature/documents/td/140g-td101_-en-p.pdf,2026-06-07,web,140g-td101_-en-p.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Allen-Bradley,140G/140MG,Bulletin 140G and 140MG molded case circuit breaker selectivity,selectivity-table,140G-TD050,Molded Case Circuit Breaker Selectivity Guide,Breakers/Allen-Bradley/140G_140MG/Allen-Bradley - 140G_140MG - 140G-TD050.pdf,web-official,https://literature.rockwellautomation.com/idc/groups/literature/documents/td/140g-td050_-en-p.pdf,2026-06-07,web,140g-td050_-en-p.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Allen-Bradley,140G-N,Bulletin 140G-N and 140G-NS molded case circuit breakers,curve-book,140G-TD032B-EN-P,Time-Current Curves for Bulletin 140G-N (-NS) Molded Case Circuit Breaker,Breakers/Allen-Bradley/140G-N/Allen-Bradley - 140G-N - 140G-TD032B-EN-P.pdf,web-official,https://literature.rockwellautomation.com/idc/groups/literature/documents/td/140g-td032_-en-p.pdf,2026-06-07,web,140g-td032_-en-p.pdf,,,verified PDF download; content-type=application/pdf
Breakers,LSIS,Susol/Metasol ACB,Susol and Metasol air circuit breakers,catalog,,Air Circuit Breakers,Breakers/LSIS/Susol_Metasol ACB/LSIS - Susol_Metasol ACB.pdf,web-official,https://www.ls-electric.com/ko/cat/%5BSusol_Metasol%20ACB%5D_Catalog_EN_202009.pdf,2026-06-07,web,%5BSusol_Metasol%20ACB%5D_Catalog_EN_202009.pdf,,,verified PDF download; content-type=application/pdf
Breakers,LSIS,Susol/Metasol ACB,Susol and Metasol air circuit breakers,catalog,,Technical Catalog for Susol and Metasol ACB,Breakers/LSIS/Susol_Metasol ACB/LSIS - Susol_Metasol ACB [f1ce5436].pdf,web-official,https://www.ls-electric.com/upload/customer/download/1417/Metasol_Susol_ACB_E_070711.pdf,2026-06-07,web,Metasol_Susol_ACB_E_070711.pdf,,,verified PDF download; content-type=application/pdf
Breakers,LSIS,Susol UL MCCB,UTS Susol MCCB,catalog,,Nuclear UL UTS Susol MCCB,Breakers/LSIS/Susol UL MCCB/LSIS - Susol UL MCCB.pdf,web-official,https://www.ls-electric.com/upload/customer/download/1f4416e5-6dc2-4486-96a5-af7ccee63b7f/Nuclear_UL%28UTS%29%20Susol%20MCCB_1611.pdf,2026-06-07,web,Nuclear_UL%28UTS%29%20Susol%20MCCB_1611.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Terasaki,TemBreak PRO,TemBreak PRO molded case circuit breakers,catalog,23-I68EJ,TemBreak PRO Moulded Case Circuit Breakers,Breakers/Terasaki/TemBreak PRO/Terasaki - TemBreak PRO - 23-I68EJ.pdf,web-official,https://www.terasaki.co.jp/english/files/business/breaker/23-I68EJ_web_24.7.18.pdf,2026-06-07,web,23-I68EJ_web_24.7.18.pdf,,,verified PDF download; content-type=application/pdf
Breakers,Terasaki,TemPower PRO,TemPower PRO air circuit breakers,catalog,23-I58K,TemPower PRO Air Circuit Breakers,Breakers/Terasaki/TemPower PRO/Terasaki - TemPower PRO - 23-I58K.pdf,web-official,https://www.terasaki.co.jp/files/business/download/catalog/tempower_pro.pdf,2026-06-07,web,tempower_pro.pdf,,,verified PDF download; content-type=application/pdf
Breakers,WEG,DWB UL,DWB UL 489 molded case circuit breakers,catalog,50066667,Molded Case Circuit Breakers UL 489 Listed - DWB Line,Breakers/WEG/DWB UL/WEG - DWB UL - 50066667.pdf,web-official,https://static.weg.net/medias/downloadcenter/h18/h4b/WEG-molded-case-circuit-breaker-dwb-ul-489-listed-50066667-en.pdf,2026-06-07,web,WEG-molded-case-circuit-breaker-dwb-ul-489-listed-50066667-en.pdf,,,verified PDF download; content-type=application/pdf
Breakers,WEG,DWB IEC,DWB molded case circuit breakers,catalog,50070240,DWB Molded Case Circuit Breaker,Breakers/WEG/DWB IEC/WEG - DWB IEC - 50070240.pdf,web-official,https://static.weg.net/medias/downloadcenter/hcd/ha4/WEG-DWB-50070240-en.pdf,2026-06-07,web,WEG-DWB-50070240-en.pdf,,,verified PDF download; content-type=application/pdf
