Designation,Type_Code,Type_Name,Source_SLD
1F0AS-BD-C-04,BD,Breaker/Distribution,1F0AS-SS-C-04
1F0AS-SS-C-04,SS,Switchgear/Substation,1F0AS-SS-C-04
1F0FO-SS-A-01,SS,Switchgear/Substation,1F0FO-SS-A-01
1F0FO-SS-A-02,SS,Switchgear/Substation,1F0FO-SS-A-02
1F0FO-SS-A-03,SS,Switchgear/Substation,1F0FO-SS-A-03
1F0FO-SS-A-04,SS,Switchgear/Substation,1F0FO-SS-A-04
1F0FO-SS-A-05,SS,Switchgear/Substation,1F0FO-SS-A-05
1F0FO-SS-B-01,SS,Switchgear/Substation,1F0FO-SS-B-01
1F0FO-UPS-1 02,UPS,Uninterruptible Power Supply,1F0FO-SS-B-01
1F0FO-SS-B-02,SS,Switchgear/Substation,1F0FO-SS-B-02
1F0FO-SS-B-04,SS,Switchgear/Substation,1F0FO-SS-B-04
1F0FO-SS-B-05,SS,Switchgear/Substation,1F0FO-SS-B-05
1F0FO-SS-C-01,SS,Switchgear/Substation,1F0FO-SS-C-01
1F0FO-SS-C-02,SS,Switchgear/Substation,1F0FO-SS-C-02
1F0FO-UPS-1 03,UPS,Uninterruptible Power Supply,1F0FO-SS-C-02
1F0FO-SS-C-04,SS,Switchgear/Substation,1F0FO-SS-C-04
1F0FO-UPS-1 01,UPS,Uninterruptible Power Supply,1F0FO-SS-C-04
1F0FO-SS-D-03,SS,Switchgear/Substation,1F0FO-SS-D-03
1F0AS-ELP-2 01,UNK,Unknown,1FO-E653 
1F0AS-HDP-2 07,UNK,Unknown,1FO-E653 
1F0AS-HDP-2 08,UNK,Unknown,1FO-E653 
1F0AS-HDP-2 09,UNK,Unknown,1FO-E653 
1F0AS-SS-B-05,SS,Switchgear/Substation,1FO-E653 
1F0FO-ATS-4 1F,ATS,Automatic Transfer Switch,1FO-E653 
1F0FO-EHDP-2 04,EHDP,Emergency High Distribution Panel,1FO-E653 
1F0FO-EHDP-2 05,EHDP,Emergency High Distribution Panel,1FO-E653 
1F0FO-SS-A-02,SS,Switchgear/Substation,1FO-E653 
1F0FO-UPS-2 01,UPS,Uninterruptible Power Supply,1FO-E654 
1F0FO-UPS-2 02,UPS,Uninterruptible Power Supply,1FO-E654 
1F0EL-BD-A-02,BD,Breaker/Distribution,1F0EL-SS-A-02
1F0EL-SS-A-02,SS,Switchgear/Substation,1F0EL-SS-A-02
1F0EL-BD-A-04,BD,Breaker/Distribution,1F0EL-SS-A-04
1F0EL-SS-A-04,SS,Switchgear/Substation,1F0EL-SS-A-04
1F0AS-ATS-2 01,ATS,Automatic Transfer Switch,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-ATS-2 02,ATS,Automatic Transfer Switch,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
