"Scope","NETA_Standard","Task_ID","Task","Apparatus","Designation","Drawing","Date Due","Notes","Assessment","DATASHEET","DATE COMPLETED","NOTES2","% COMPLETION","TASK DELAYS","Apparatus Hours","Remaining Hours","ACTUAL HOURS","STATUS","AVAILABILITY","PRIORITY","Apparatus Category"
"IPS","ATS","1.5.3","Bus Differential CT's","Current Transformer MV - Set of 3",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.5.4","Bus Differential CT's","Current Transformer MV - Set of 3",,"","","X1 & X2 need are swapped. Swapped with Protection CTs. ","ACCEPTABLE","False","45994","X1 & X2 need are swapped. Swapped with Protection CTs. ","1","2","2","0","4","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.5.5","Bus Differential CT's","Current Transformer MV - Set of 3",,"","","","","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.5.6","Bus Differential CT's","Current Transformer MV - Set of 3",,"","","","","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.1","Zero Sequence CT's","Current Transformer - MV",,"","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.2","Zero Sequence CT's","Current Transformer - MV",,"","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.3","Zero Sequence CT's","Current Transformer - MV",,"","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.4","Zero Sequence CT's","Current Transformer - MV",,"","","Could not test. Impedance too low. Replacement from mfg.","NON-SERVICEABLE","False","45994","Could not test. Impedance too low. Replacement from mfg.","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.5","Zero Sequence CT's","Current Transformer - MV",,"","","X1 and X2 wires were switched. Swap wires and red line drawings.","MINOR DEFICIENCY","False","45994","X1 and X2 wires were switched. Swap wires and red line drawings.","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.6.6","Zero Sequence CT's","Current Transformer - MV",,"","","X1 and X2 need to be swapped and relabled at CT.","MINOR DEFICIENCY","False","45994","X1 and X2 need to be swapped and relabled at CT.","1","","0.75","0","0.75","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.7.1","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.7.2","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.7.3","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.7.4","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.7.5","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
